loop,iteration,max_fitness,time,current_time
1,1,1183.052,44.809247970581055,2023-12-12 07:25:02.054552
2,11,1183.052,27.962788343429565,2023-12-12 07:25:30.019078
3,21,1183.052,27.564129114151,2023-12-12 07:25:57.585051
4,31,1183.052,27.85884690284729,2023-12-12 07:26:25.445805
5,41,1183.052,27.600796222686768,2023-12-12 07:26:53.048516
6,51,1183.052,27.381103992462158,2023-12-12 07:27:20.431512
7,61,1183.052,28.082122087478638,2023-12-12 07:27:48.515682
8,71,1183.052,27.295381784439087,2023-12-12 07:28:15.812945
9,81,1183.052,28.107207775115967,2023-12-12 07:28:43.922033
10,91,1183.052,27.660069227218628,2023-12-12 07:29:11.583959
11,101,1183.052,27.97117018699646,2023-12-12 07:29:39.556978
12,111,1183.052,27.821616888046265,2023-12-12 07:30:07.380576
13,121,1183.052,27.702513456344604,2023-12-12 07:30:35.084970
14,131,1183.052,28.06533908843994,2023-12-12 07:31:03.152198
15,141,1183.052,27.971217393875122,2023-12-12 07:31:31.125273
16,151,1183.052,28.352326154708862,2023-12-12 07:31:59.479522
17,161,1183.052,28.513840675354004,2023-12-12 07:32:27.995302
18,171,1183.052,28.439554691314697,2023-12-12 07:32:56.436715
19,181,1183.052,27.941532373428345,2023-12-12 07:33:24.380126
20,191,1183.052,27.904070377349854,2023-12-12 07:33:52.286093
21,201,1183.052,28.223259210586548,2023-12-12 07:34:20.511166
22,211,1183.052,28.42325782775879,2023-12-12 07:34:48.936236
23,221,1183.052,28.384561777114868,2023-12-12 07:35:17.322797
24,231,1183.052,28.218864679336548,2023-12-12 07:35:45.543523
25,241,1216.5284,27.6951744556427,2023-12-12 07:36:13.240573
26,251,1216.5284,27.32405948638916,2023-12-12 07:36:40.568809
27,261,1216.5284,27.439897775650024,2023-12-12 07:37:08.010566
28,271,1216.5284,27.752470016479492,2023-12-12 07:37:35.764902
29,281,1216.5284,27.905794143676758,2023-12-12 07:38:03.672532
30,291,1216.5284,27.880223989486694,2023-12-12 07:38:31.554652
31,301,1216.5284,28.148266792297363,2023-12-12 07:38:59.704800
32,311,1216.5284,27.844304084777832,2023-12-12 07:39:27.551000
33,321,1216.5284,28.424288034439087,2023-12-12 07:39:55.977179
34,331,1216.5284,28.07893204689026,2023-12-12 07:40:24.058429
35,341,1216.5284,27.91020703315735,2023-12-12 07:40:51.970514
36,351,1216.5284,27.389652729034424,2023-12-12 07:41:19.362063
37,361,1216.5284,27.542703866958618,2023-12-12 07:41:46.906699
38,371,1216.5284,27.522151708602905,2023-12-12 07:42:14.430729
39,381,1216.5284,27.407797813415527,2023-12-12 07:42:41.840432
40,391,1216.5284,27.804466724395752,2023-12-12 07:43:09.646845
41,401,1216.5284,28.032257318496704,2023-12-12 07:43:37.681022
42,411,1216.5284,27.403554916381836,2023-12-12 07:44:05.086482
43,421,1216.5284,27.370048761367798,2023-12-12 07:44:32.458377
44,431,1216.5284,27.442713022232056,2023-12-12 07:44:59.903011
45,441,1216.5284,27.665072917938232,2023-12-12 07:45:27.569932
46,451,1216.5284,27.84105944633484,2023-12-12 07:45:55.412861
47,461,1216.5284,27.877034187316895,2023-12-12 07:46:23.291775
48,471,1216.5284,27.807111740112305,2023-12-12 07:46:51.101445
49,481,1216.5284,27.752270221710205,2023-12-12 07:47:18.855580
50,491,1216.5284,27.865206480026245,2023-12-12 07:47:46.723431
51,501,1216.5284,27.435428619384766,2023-12-12 07:48:14.160823
52,511,1216.5284,27.76858139038086,2023-12-12 07:48:41.931242
53,521,1216.5284,27.4711012840271,2023-12-12 07:49:09.404178
54,531,1216.5284,27.668445825576782,2023-12-12 07:49:37.074500
55,541,1216.5284,27.517951250076294,2023-12-12 07:50:04.594337
56,551,1216.5284,27.79987144470215,2023-12-12 07:50:32.396092
57,561,1216.5284,27.810235261917114,2023-12-12 07:51:00.208213
58,571,1216.5284,27.301833868026733,2023-12-12 07:51:27.511986
59,581,1216.5284,27.435941219329834,2023-12-12 07:51:54.949816
60,591,1216.5284,27.56668186187744,2023-12-12 07:52:22.518729
61,601,1216.5284,27.982746362686157,2023-12-12 07:52:50.503352
62,611,1216.5284,27.719584941864014,2023-12-12 07:53:18.224770
63,621,1216.5284,27.922001361846924,2023-12-12 07:53:46.148715
64,631,1216.5284,27.67485737800598,2023-12-12 07:54:13.825508
