loop,iteration,qd_score,max_fitness,coverage,time,current_time
1,1,429361.7,1101.8931,24.804688,59.30401539802551,2023-12-15 18:33:27.618501
2,11,605750.8,1173.6543,33.496094,34.08071208000183,2023-12-15 18:34:02.060803
3,21,712312.4,1173.6543,38.57422,34.07596468925476,2023-12-15 18:34:36.438237
4,31,765919.6,1173.6543,40.722656,34.400020122528076,2023-12-15 18:35:11.144506
5,41,811070.75,1173.6543,42.48047,34.476526975631714,2023-12-15 18:35:45.920081
6,51,852641.3,1206.6979,44.04297,34.45288586616516,2023-12-15 18:36:20.685112
7,61,893087.56,1206.6979,45.60547,34.71695137023926,2023-12-15 18:36:55.703581
8,71,917469.6,1206.6979,46.38672,34.687676668167114,2023-12-15 18:37:30.687666
9,81,952424.1,1252.5276,47.65625,34.03250432014465,2023-12-15 18:38:05.019478
10,91,972285.1,1252.5276,48.4375,33.73757195472717,2023-12-15 18:38:39.075788
11,101,996609.25,1358.315,49.121094,34.6798779964447,2023-12-15 18:39:14.054786
12,111,1009696.75,1358.315,49.414062,34.354897022247314,2023-12-15 18:39:48.712075
13,121,1028886.25,1358.315,50.195312,33.916895389556885,2023-12-15 18:40:22.927331
14,131,1049305.6,1358.315,50.878906,34.1671929359436,2023-12-15 18:40:57.431797
15,141,1070745.0,1358.315,51.660156,34.518521547317505,2023-12-15 18:41:32.274895
16,151,1085530.1,1358.315,52.148438,33.965476751327515,2023-12-15 18:42:06.607311
17,161,1103309.4,1358.315,52.734375,34.418137073516846,2023-12-15 18:42:41.323855
18,171,1118144.1,1358.315,53.125,34.062540769577026,2023-12-15 18:43:15.687453
19,181,1138593.8,1358.315,53.710938,34.37166166305542,2023-12-15 18:43:50.363424
20,191,1148635.8,1358.315,53.90625,34.29076075553894,2023-12-15 18:44:24.958658
21,201,1166488.2,1358.315,54.6875,34.6255898475647,2023-12-15 18:44:59.895119
22,211,1175813.8,1358.315,54.98047,33.6252121925354,2023-12-15 18:45:33.833258
23,221,1185538.6,1404.758,55.17578,34.00931692123413,2023-12-15 18:46:08.148902
24,231,1193692.2,1404.758,55.371094,33.84811449050903,2023-12-15 18:46:42.303080
25,241,1201105.1,1404.758,55.566406,34.55025839805603,2023-12-15 18:47:17.159787
26,251,1209217.5,1404.758,55.76172,34.17204785346985,2023-12-15 18:47:51.637003
27,261,1218375.2,1404.758,56.054688,33.87418794631958,2023-12-15 18:48:25.827931
28,271,1222014.2,1404.758,56.054688,33.98249292373657,2023-12-15 18:49:00.121351
29,281,1237125.0,1404.758,56.640625,34.063830852508545,2023-12-15 18:49:34.493563
30,291,1245214.4,1404.758,56.835938,34.256699323654175,2023-12-15 18:50:09.060844
31,301,1248925.0,1404.758,56.933594,34.27702021598816,2023-12-15 18:50:43.646522
32,311,1258188.2,1404.758,57.226562,34.13082146644592,2023-12-15 18:51:18.079995
33,321,1262769.1,1404.758,57.32422,33.78209090232849,2023-12-15 18:51:52.165901
34,331,1268603.5,1404.758,57.51953,34.159950494766235,2023-12-15 18:52:26.625267
35,341,1275791.2,1404.758,57.8125,34.10387945175171,2023-12-15 18:53:01.041926
36,351,1282874.2,1404.758,58.007812,34.09873819351196,2023-12-15 18:53:35.445553
37,361,1290926.8,1404.758,58.30078,34.19655418395996,2023-12-15 18:54:09.970024
38,371,1294801.9,1404.758,58.398438,34.15777254104614,2023-12-15 18:54:44.432767
39,381,1301462.8,1404.758,58.59375,34.30427312850952,2023-12-15 18:55:19.066178
40,391,1308786.0,1404.758,58.88672,34.20711612701416,2023-12-15 18:55:53.589047
41,401,1318616.8,1404.758,59.277344,34.23317885398865,2023-12-15 18:56:28.121966
42,411,1323635.0,1404.758,59.375,34.59592151641846,2023-12-15 18:57:03.030157
43,421,1330758.2,1404.758,59.66797,34.660634994506836,2023-12-15 18:57:37.992910
44,431,1333305.2,1465.229,59.66797,34.26065731048584,2023-12-15 18:58:12.557771
45,441,1344292.8,1465.229,60.15625,33.81338572502136,2023-12-15 18:58:46.671870
46,451,1349333.2,1465.229,60.351562,34.21641445159912,2023-12-15 18:59:21.196300
47,461,1351542.8,1465.229,60.44922,33.94139337539673,2023-12-15 18:59:55.454709
48,471,1355674.0,1465.229,60.546875,34.11987519264221,2023-12-15 19:00:29.873935
49,481,1359348.2,1465.229,60.742188,34.15165162086487,2023-12-15 19:01:04.327890
50,491,1365320.2,1465.229,60.9375,34.302420139312744,2023-12-15 19:01:38.939796
51,501,1373599.6,1465.229,61.328125,33.96344447135925,2023-12-15 19:02:13.235982
52,511,1376093.5,1465.229,61.42578,34.2076952457428,2023-12-15 19:02:47.744973
53,521,1377749.0,1465.229,61.42578,33.96652960777283,2023-12-15 19:03:22.055319
54,531,1384640.9,1465.229,61.71875,34.38209891319275,2023-12-15 19:03:56.734978
55,541,1390894.4,1465.229,61.914062,33.785579681396484,2023-12-15 19:04:30.841959
56,551,1395617.8,1465.229,62.109375,33.6918363571167,2023-12-15 19:05:04.830854
57,561,1402300.6,1465.229,62.402344,34.34486484527588,2023-12-15 19:05:39.484334
58,571,1407615.2,1465.229,62.597656,34.84620237350464,2023-12-15 19:06:14.629979
59,581,1407880.8,1465.229,62.597656,33.81436800956726,2023-12-15 19:06:48.769397
60,591,1412040.6,1465.229,62.79297,33.82556962966919,2023-12-15 19:07:22.920053
61,601,1420402.9,1465.229,63.085938,33.83703875541687,2023-12-15 19:07:57.062579
62,611,1431092.8,1465.229,63.57422,33.835514307022095,2023-12-15 19:08:31.196667
63,621,1434484.0,1465.229,63.671875,33.87276577949524,2023-12-15 19:09:05.367817
64,631,1437753.4,1465.229,63.76953,33.70739722251892,2023-12-15 19:09:39.385817
65,641,1441279.0,1465.229,63.867188,33.74713754653931,2023-12-15 19:10:13.431932
66,651,1446324.2,1465.229,64.0625,34.01603627204895,2023-12-15 19:10:47.829194
67,661,1448721.8,1465.229,64.16016,34.0939245223999,2023-12-15 19:11:22.253227
68,671,1451457.0,1465.229,64.25781,34.25907826423645,2023-12-15 19:11:56.817983
69,681,1453755.2,1465.229,64.25781,34.088316679000854,2023-12-15 19:12:31.216484
70,691,1459519.9,1465.229,64.453125,33.73581647872925,2023-12-15 19:13:05.260544
71,701,1465305.6,1465.229,64.64844,34.02135896682739,2023-12-15 19:13:39.592568
72,711,1467453.8,1465.229,64.64844,33.594680070877075,2023-12-15 19:14:13.527283
73,721,1467808.8,1465.229,64.64844,33.81500482559204,2023-12-15 19:14:47.660057
74,731,1472359.5,1508.9147,64.74609,34.24172329902649,2023-12-15 19:15:22.199344
75,741,1473347.9,1508.9147,64.74609,34.38913655281067,2023-12-15 19:15:56.891337
76,751,1476131.5,1508.9147,64.84375,34.398942708969116,2023-12-15 19:16:31.590090
77,761,1478139.2,1508.9147,64.84375,34.252321004867554,2023-12-15 19:17:06.138860
78,771,1479092.2,1508.9147,64.84375,34.10983610153198,2023-12-15 19:17:40.563039
79,781,1482031.8,1508.9147,64.94141,34.27023768424988,2023-12-15 19:18:15.139230
80,791,1487811.5,1508.9147,65.13672,34.391254901885986,2023-12-15 19:18:49.840741
81,801,1489455.6,1508.9147,65.13672,34.03431439399719,2023-12-15 19:19:24.176238
82,811,1494439.1,1508.9147,65.33203,34.08128023147583,2023-12-15 19:19:58.556138
83,821,1494941.0,1508.9147,65.33203,33.967055797576904,2023-12-15 19:20:32.819669
84,831,1496716.2,1508.9147,65.33203,34.093056440353394,2023-12-15 19:21:07.220178
85,841,1499943.5,1508.9147,65.42969,33.86040139198303,2023-12-15 19:21:41.398168
86,851,1501059.1,1508.9147,65.42969,34.44992184638977,2023-12-15 19:22:16.146465
87,861,1507310.5,1508.9147,65.625,34.3741660118103,2023-12-15 19:22:50.825151
88,871,1511950.6,1508.9147,65.82031,34.22228813171387,2023-12-15 19:23:25.348911
89,881,1518596.5,1508.9147,66.11328,33.81298589706421,2023-12-15 19:23:59.502663
90,891,1527417.1,1508.9147,66.50391,34.494133949279785,2023-12-15 19:24:34.303488
91,901,1528433.8,1508.9147,66.50391,33.837342500686646,2023-12-15 19:25:08.463827
92,911,1530727.9,1508.9147,66.60156,33.942813873291016,2023-12-15 19:25:42.706760
93,921,1533981.0,1508.9147,66.69922,34.334206104278564,2023-12-15 19:26:17.344486
94,931,1535660.1,1508.9147,66.69922,34.48396420478821,2023-12-15 19:26:52.128069
95,941,1536796.0,1508.9147,66.69922,34.412699699401855,2023-12-15 19:27:26.841314
96,951,1537469.5,1508.9147,66.69922,34.305355072021484,2023-12-15 19:28:01.443111
97,961,1543181.1,1508.9147,66.89453,34.04866147041321,2023-12-15 19:28:35.788720
98,971,1546556.1,1508.9147,66.99219,34.10859823226929,2023-12-15 19:29:10.211160
99,981,1551508.4,1508.9147,67.1875,34.2792866230011,2023-12-15 19:29:44.789858
100,991,1552593.4,1508.9147,67.1875,33.999934911727905,2023-12-15 19:30:19.094664
101,1001,1556202.6,1508.9147,67.28516,34.33117151260376,2023-12-15 19:30:53.736377
102,1011,1559904.5,1508.9147,67.38281,33.80121850967407,2023-12-15 19:31:27.838920
103,1021,1560869.1,1521.8573,67.38281,34.329726457595825,2023-12-15 19:32:02.476526
104,1031,1564464.2,1521.8573,67.38281,33.66950058937073,2023-12-15 19:32:36.450082
105,1041,1567563.2,1521.8573,67.48047,34.15689253807068,2023-12-15 19:33:10.935431
106,1051,1573139.1,1521.8573,67.67578,33.6967613697052,2023-12-15 19:33:44.935311
107,1061,1575210.0,1521.8573,67.67578,34.46041440963745,2023-12-15 19:34:19.705528
108,1071,1575816.8,1521.8573,67.67578,34.428130865097046,2023-12-15 19:34:54.434755
109,1081,1578414.4,1521.8573,67.77344,34.07161903381348,2023-12-15 19:35:28.804653
110,1091,1580208.6,1521.8573,67.77344,34.304858922958374,2023-12-15 19:36:03.409151
111,1101,1582995.0,1521.8573,67.87109,34.02815628051758,2023-12-15 19:36:37.850551
112,1111,1586158.2,1521.8573,67.96875,33.745285987854004,2023-12-15 19:37:11.893777
113,1121,1589860.0,1521.8573,68.06641,34.21847462654114,2023-12-15 19:37:46.412061
114,1131,1591057.6,1521.8573,68.06641,34.27509140968323,2023-12-15 19:38:20.999858
115,1141,1592109.0,1521.8573,68.06641,33.919124603271484,2023-12-15 19:38:55.226537
116,1151,1593928.9,1521.8573,68.06641,34.209540367126465,2023-12-15 19:39:29.738307
117,1161,1598174.5,1521.8573,68.26172,34.68302845954895,2023-12-15 19:40:04.768482
118,1171,1603947.8,1521.8573,68.45703,34.10291934013367,2023-12-15 19:40:39.177912
119,1181,1608245.8,1521.8573,68.65234,34.1581916809082,2023-12-15 19:41:13.637078
120,1191,1610770.6,1521.8573,68.75,34.336018800735474,2023-12-15 19:41:48.270220
121,1201,1614028.2,1521.8573,68.84766,34.04610276222229,2023-12-15 19:42:22.616612
122,1211,1616520.8,1521.8573,68.94531,34.09729266166687,2023-12-15 19:42:57.042291
123,1221,1618477.5,1521.8573,68.94531,34.25490355491638,2023-12-15 19:43:31.606752
124,1231,1621798.8,1521.8573,69.04297,34.156837463378906,2023-12-15 19:44:06.064578
125,1241,1622912.9,1521.8573,69.04297,34.359705686569214,2023-12-15 19:44:40.731433
126,1251,1625458.2,1523.022,69.140625,33.924187898635864,2023-12-15 19:45:14.980259
127,1261,1632354.4,1523.022,69.43359,34.32956671714783,2023-12-15 19:45:49.608205
128,1271,1632600.4,1523.022,69.43359,34.25012445449829,2023-12-15 19:46:24.157403
129,1281,1637965.6,1523.022,69.62891,33.720314264297485,2023-12-15 19:46:58.179187
130,1291,1641469.4,1523.022,69.72656,33.897347927093506,2023-12-15 19:47:32.376103
131,1301,1646298.4,1523.022,69.921875,34.55773401260376,2023-12-15 19:48:07.236762
132,1311,1647199.9,1523.022,69.921875,34.559191942214966,2023-12-15 19:48:42.106273
133,1321,1652598.8,1523.022,70.11719,34.3530216217041,2023-12-15 19:49:16.757679
134,1331,1659607.0,1523.022,70.41016,34.03267550468445,2023-12-15 19:49:51.108747
135,1341,1659803.2,1523.022,70.41016,34.2408344745636,2023-12-15 19:50:25.650831
136,1351,1660999.5,1541.0917,70.41016,33.88851714134216,2023-12-15 19:50:59.840230
137,1361,1661816.8,1541.0917,70.41016,33.798346519470215,2023-12-15 19:51:34.038821
138,1371,1662761.0,1541.0917,70.41016,34.06222081184387,2023-12-15 19:52:08.409214
139,1381,1669634.6,1541.0917,70.703125,33.76061272621155,2023-12-15 19:52:42.472050
140,1391,1674415.8,1541.0917,70.89844,34.07438039779663,2023-12-15 19:53:16.852546
141,1401,1674776.8,1541.0917,70.89844,34.448447704315186,2023-12-15 19:53:51.608458
142,1411,1677421.0,1541.0917,70.99609,34.01518630981445,2023-12-15 19:54:25.922910
143,1421,1684125.2,1541.0917,71.28906,33.82696890830994,2023-12-15 19:55:00.049724
144,1431,1685010.8,1541.0917,71.28906,33.957918643951416,2023-12-15 19:55:34.351622
145,1441,1687553.2,1541.0917,71.38672,33.98124647140503,2023-12-15 19:56:08.638837
146,1451,1688362.9,1541.0917,71.38672,34.414546251297,2023-12-15 19:56:43.360697
147,1461,1689015.2,1541.0917,71.38672,34.14733934402466,2023-12-15 19:57:17.828332
148,1471,1691581.5,1541.0917,71.484375,33.861045122146606,2023-12-15 19:57:52.029280
149,1481,1692258.0,1541.0917,71.484375,34.283687353134155,2023-12-15 19:58:26.618177
150,1491,1695639.1,1541.0917,71.58203,34.38482356071472,2023-12-15 19:59:01.311415
151,1501,1696894.5,1541.0917,71.58203,34.32821440696716,2023-12-15 19:59:35.940244
152,1511,1697632.1,1541.0917,71.58203,34.51803135871887,2023-12-15 20:00:10.755105
153,1521,1700927.2,1541.0917,71.67969,34.37550711631775,2023-12-15 20:00:45.432919
154,1531,1703554.1,1541.0917,71.77734,34.02673554420471,2023-12-15 20:01:19.762752
155,1541,1704236.2,1541.0917,71.77734,34.22701835632324,2023-12-15 20:01:54.290274
156,1551,1706291.2,1590.5858,71.77734,34.431151390075684,2023-12-15 20:02:29.066843
157,1561,1709230.6,1590.5858,71.875,34.20571684837341,2023-12-15 20:03:03.684956
158,1571,1709601.2,1590.5858,71.875,34.454620361328125,2023-12-15 20:03:38.463616
159,1581,1713975.1,1590.5858,72.07031,34.01681661605835,2023-12-15 20:04:12.787661
160,1591,1714528.8,1590.5858,72.07031,33.91015911102295,2023-12-15 20:04:47.002394
161,1601,1715619.8,1590.5858,72.07031,33.66187810897827,2023-12-15 20:05:20.963277
162,1611,1718210.8,1590.5858,72.16797,34.17695355415344,2023-12-15 20:05:55.437839
163,1621,1719060.6,1590.5858,72.16797,34.076918840408325,2023-12-15 20:06:29.812951
