loop,iteration,qd_score1,max_fitness,coverage1,time,current_time,qd_score2,coverage2
1,1,4713.399,-70.8378,5.46875,8.79994010925293,2023-12-14 18:09:05.200420,11047.8545,10.644531
2,11,7001.3833,-68.22609,7.9101562,0.3725268840789795,2023-12-14 18:09:06.158312,15193.301,14.160156
3,21,9438.098,-67.8165,10.15625,0.37206602096557617,2023-12-14 18:09:07.122733,19775.18,16.992188
4,31,11135.187,-67.8165,11.621094,0.40930628776550293,2023-12-14 18:09:08.122385,22902.086,18.75
5,41,11925.867,-67.8165,12.5,0.37013959884643555,2023-12-14 18:09:09.076978,24987.67,19.824219
6,51,12523.29,-67.8165,13.0859375,0.3692917823791504,2023-12-14 18:09:10.037333,27508.371,20.898438
7,61,13272.904,-67.8165,13.964844,0.373394250869751,2023-12-14 18:09:10.997509,29785.902,21.875
8,71,14416.791,-67.8165,14.84375,0.3883488178253174,2023-12-14 18:09:11.975476,32524.527,23.242188
9,81,15329.07,-67.8165,15.625,0.38193702697753906,2023-12-14 18:09:12.950984,33685.01,23.925781
10,91,16499.162,-67.63132,16.699219,0.39664793014526367,2023-12-14 18:09:13.936505,34446.324,24.21875
11,101,17014.062,-67.49281,17.1875,0.37790989875793457,2023-12-14 18:09:14.909004,35371.418,24.609375
12,111,17378.7,-67.412575,17.578125,0.37815260887145996,2023-12-14 18:09:15.878909,36301.633,25.0
13,121,17755.393,-67.3896,17.773438,0.38811802864074707,2023-12-14 18:09:16.853540,37418.316,25.390625
14,131,18056.752,-67.37537,17.96875,0.37560510635375977,2023-12-14 18:09:17.821694,38305.973,25.878906
15,141,18472.846,-67.37537,18.359375,0.3921997547149658,2023-12-14 18:09:18.799985,39521.83,26.757812
16,151,19492.924,-67.37537,19.238281,0.3803236484527588,2023-12-14 18:09:19.769709,40267.723,27.050781
17,161,20233.44,-67.37537,20.019531,0.4743187427520752,2023-12-14 18:09:20.836658,40727.473,27.34375
18,171,20541.4,-67.37537,20.214844,0.3924214839935303,2023-12-14 18:09:21.823771,41239.973,27.734375
19,181,21094.318,-67.37537,20.800781,0.37793493270874023,2023-12-14 18:09:22.795164,42581.61,28.613281
20,191,21502.31,-67.37537,21.289062,0.37974119186401367,2023-12-14 18:09:23.766860,43525.605,29.199219
21,201,21825.914,-67.37537,21.484375,0.3820936679840088,2023-12-14 18:09:24.763551,43961.715,29.492188
22,211,22351.268,-67.37537,21.875,0.3834495544433594,2023-12-14 18:09:25.740590,44942.32,29.980469
23,221,22755.223,-67.35683,22.265625,0.37956953048706055,2023-12-14 18:09:26.710129,45845.184,30.46875
24,231,23449.447,-67.35683,22.949219,0.3969841003417969,2023-12-14 18:09:27.700287,46609.39,30.761719
25,241,24034.441,-67.35683,23.339844,0.37993359565734863,2023-12-14 18:09:28.667085,46898.47,30.761719
26,251,24349.184,-67.35683,23.632812,0.39330363273620605,2023-12-14 18:09:29.644546,47976.25,31.25
27,261,24675.287,-67.35683,23.828125,0.3779871463775635,2023-12-14 18:09:30.605244,48945.086,31.933594
28,271,24940.71,-66.300964,24.023438,0.3775167465209961,2023-12-14 18:09:31.565751,49343.137,32.226562
29,281,25354.285,-66.300964,24.414062,0.39987707138061523,2023-12-14 18:09:32.549637,49944.99,32.8125
30,291,25932.533,-66.300964,24.902344,0.38161492347717285,2023-12-14 18:09:33.519539,50247.137,32.910156
31,301,26320.234,-66.300964,25.292969,0.42713189125061035,2023-12-14 18:09:34.533871,50974.535,33.398438
32,311,26414.896,-66.300964,25.390625,0.3940389156341553,2023-12-14 18:09:35.510231,51347.766,33.496094
33,321,26816.652,-66.300964,25.78125,0.37742018699645996,2023-12-14 18:09:36.475922,51660.812,33.59375
34,331,27368.502,-66.300964,26.269531,0.37651872634887695,2023-12-14 18:09:37.447668,52367.562,34.08203
35,341,27854.832,-66.300964,26.660156,0.3780086040496826,2023-12-14 18:09:38.421218,52967.797,34.570312
36,351,28148.48,-66.300964,26.953125,0.3769094944000244,2023-12-14 18:09:39.390008,53139.555,34.66797
37,361,28287.342,-66.300964,27.050781,0.3957509994506836,2023-12-14 18:09:40.386283,53317.293,34.765625
38,371,28484.12,-66.300964,27.246094,0.3804328441619873,2023-12-14 18:09:41.360181,53612.152,34.86328
39,381,29263.215,-66.300964,27.929688,0.38356971740722656,2023-12-14 18:09:42.338358,54294.08,35.15625
40,391,29530.88,-66.300964,28.125,0.381389856338501,2023-12-14 18:09:43.318507,54704.723,35.44922
41,401,29954.887,-66.300964,28.515625,0.38109731674194336,2023-12-14 18:09:44.296192,55197.656,36.035156
42,411,30109.916,-66.300964,28.613281,0.38431262969970703,2023-12-14 18:09:45.270695,55831.71,36.621094
43,421,30259.146,-66.300964,28.710938,0.38324570655822754,2023-12-14 18:09:46.245296,56451.438,37.109375
44,431,30627.527,-66.300964,29.101562,0.38178372383117676,2023-12-14 18:09:47.221840,56961.105,37.402344
45,441,31463.404,-66.300964,29.785156,0.3852860927581787,2023-12-14 18:09:48.199025,57523.637,37.597656
46,451,31853.559,-61.157974,30.175781,0.3865516185760498,2023-12-14 18:09:49.186725,58526.95,38.28125
47,461,32054.723,-61.157974,30.371094,0.397860050201416,2023-12-14 18:09:50.180793,58948.402,38.476562
48,471,32158.578,-61.157974,30.46875,0.38094115257263184,2023-12-14 18:09:51.153004,59651.832,38.671875
49,481,32272.896,-61.157974,30.566406,0.37970972061157227,2023-12-14 18:09:52.119462,59913.195,38.76953
50,491,32283.787,-61.157974,30.566406,0.3818817138671875,2023-12-14 18:09:53.092622,60173.875,38.964844
51,501,32468.68,-61.157974,30.761719,0.3837885856628418,2023-12-14 18:09:54.067176,60389.52,39.160156
52,511,32698.848,-61.157974,30.957031,0.38265538215637207,2023-12-14 18:09:55.045186,60518.57,39.257812
53,521,32844.28,-61.157974,31.152344,0.3807399272918701,2023-12-14 18:09:56.014470,60913.52,39.453125
54,531,33039.688,-61.157974,31.347656,0.3915235996246338,2023-12-14 18:09:56.999286,61473.133,39.84375
55,541,33059.188,-61.157974,31.347656,0.3840649127960205,2023-12-14 18:09:57.973081,61868.13,40.039062
56,551,33296.05,-61.157974,31.542969,0.3856949806213379,2023-12-14 18:09:58.953202,62115.01,40.234375
57,561,33311.94,-61.157974,31.542969,0.45847320556640625,2023-12-14 18:10:00.001716,62452.285,40.33203
58,571,33511.023,-61.157974,31.738281,0.3797261714935303,2023-12-14 18:10:00.971938,62696.676,40.429688
59,581,33683.934,-61.157974,31.835938,0.37919163703918457,2023-12-14 18:10:01.941221,62951.55,40.722656
60,591,33942.887,-61.157974,32.128906,0.38124585151672363,2023-12-14 18:10:02.915037,63295.52,40.91797
61,601,33944.3,-61.157974,32.128906,0.3856325149536133,2023-12-14 18:10:03.907838,63760.367,41.40625
62,611,34077.49,-61.157974,32.226562,0.40803956985473633,2023-12-14 18:10:04.904973,64164.75,41.601562
63,621,34272.14,-42.971085,32.32422,0.39342212677001953,2023-12-14 18:10:05.893471,64514.312,41.992188
64,631,34369.176,-42.971085,32.421875,0.3823540210723877,2023-12-14 18:10:06.868641,64675.707,41.992188
65,641,34386.934,-42.971085,32.421875,0.38150668144226074,2023-12-14 18:10:07.839728,64753.918,41.992188
66,651,34509.562,-42.971085,32.51953,0.39353203773498535,2023-12-14 18:10:08.818653,65007.09,42.1875
67,661,34610.336,-42.971085,32.617188,0.3828434944152832,2023-12-14 18:10:09.786279,65173.543,42.1875
68,671,34719.625,-42.971085,32.8125,0.38413500785827637,2023-12-14 18:10:10.758786,65520.438,42.382812
69,681,34927.9,-42.971085,33.007812,0.39808034896850586,2023-12-14 18:10:11.746574,65785.15,42.578125
70,691,35080.36,-42.971085,33.203125,0.4250826835632324,2023-12-14 18:10:12.755771,65964.04,42.578125
