loop,iteration,max_fitness,time,current_time
1,1,-69.81064,4.198755741119385,2023-12-15 09:11:50.073834
2,11,-67.64731,0.17962431907653809,2023-12-15 09:11:51.711423
3,21,-66.54372,0.17380452156066895,2023-12-15 09:11:51.905445
4,31,-66.54372,0.17476534843444824,2023-12-15 09:11:52.095557
5,41,-66.54372,0.16708779335021973,2023-12-15 09:11:52.283628
6,51,-66.54372,0.1578664779663086,2023-12-15 09:11:52.462648
7,61,-66.54372,0.17620110511779785,2023-12-15 09:11:52.662757
8,71,-66.54372,0.16465353965759277,2023-12-15 09:11:52.849839
9,81,-66.54372,0.15877699851989746,2023-12-15 09:11:53.024780
10,91,-66.54372,0.1758437156677246,2023-12-15 09:11:53.220796
11,101,-66.54372,0.17471528053283691,2023-12-15 09:11:53.414599
12,111,-66.54372,0.17430400848388672,2023-12-15 09:11:53.611159
13,121,-66.54372,0.17200660705566406,2023-12-15 09:11:53.801850
14,131,-66.54372,0.1820831298828125,2023-12-15 09:11:54.007060
15,141,-66.54372,0.18195819854736328,2023-12-15 09:11:54.209087
16,151,-66.54372,0.1775374412536621,2023-12-15 09:11:54.409608
17,161,-66.54372,0.15993905067443848,2023-12-15 09:11:54.586544
18,171,-66.54372,0.18341755867004395,2023-12-15 09:11:54.791529
19,181,-66.54372,0.17027616500854492,2023-12-15 09:11:54.984408
20,191,-66.54372,0.1725449562072754,2023-12-15 09:11:55.179152
21,201,-66.54372,0.1786482334136963,2023-12-15 09:11:55.379724
22,211,-66.54372,0.18569374084472656,2023-12-15 09:11:55.588587
23,221,-66.54372,0.1567842960357666,2023-12-15 09:11:55.766106
24,231,-66.54372,0.17580008506774902,2023-12-15 09:11:55.958555
25,241,-66.54372,0.15744781494140625,2023-12-15 09:11:56.131241
26,251,-66.54372,0.1804499626159668,2023-12-15 09:11:56.333143
27,261,-66.54372,0.18140387535095215,2023-12-15 09:11:56.536774
28,271,-66.54372,0.1778264045715332,2023-12-15 09:11:56.738062
29,281,-66.54372,0.16745638847351074,2023-12-15 09:11:56.928239
30,291,-66.54372,0.16608524322509766,2023-12-15 09:11:57.117175
31,301,-66.54372,0.17711091041564941,2023-12-15 09:11:57.316458
32,311,-66.54372,0.17134523391723633,2023-12-15 09:11:57.509602
33,321,-66.54372,0.16049742698669434,2023-12-15 09:11:57.686643
34,331,-66.54372,0.17278385162353516,2023-12-15 09:11:57.876691
35,341,-66.54372,0.16117644309997559,2023-12-15 09:11:58.055098
36,351,-66.54372,0.17011666297912598,2023-12-15 09:11:58.247427
37,361,-66.54372,0.16790199279785156,2023-12-15 09:11:58.431341
38,371,-66.54372,0.1869666576385498,2023-12-15 09:11:58.640775
39,381,-66.54372,0.17730975151062012,2023-12-15 09:11:58.840596
40,391,-66.54372,0.1897568702697754,2023-12-15 09:11:59.051111
41,401,-66.54372,0.1810302734375,2023-12-15 09:11:59.252363
42,411,-66.54372,0.17140412330627441,2023-12-15 09:11:59.442245
43,421,-66.54372,0.1757948398590088,2023-12-15 09:11:59.639349
44,431,-66.54372,0.17551159858703613,2023-12-15 09:11:59.831622
45,441,-66.54372,0.18303418159484863,2023-12-15 09:12:00.034788
46,451,-66.54372,0.18577861785888672,2023-12-15 09:12:00.243150
47,461,-66.54372,0.1847233772277832,2023-12-15 09:12:00.450542
48,471,-66.54372,0.19795536994934082,2023-12-15 09:12:00.671324
49,481,-66.54372,0.16780734062194824,2023-12-15 09:12:00.858111
50,491,-66.54372,0.16176414489746094,2023-12-15 09:12:01.039725
51,501,-66.54372,0.2016620635986328,2023-12-15 09:12:01.263074
