loop,iteration,qd_score1,max_fitness,coverage1,time,current_time,qd_score2,coverage2
1,1,523969.78,1095.2826,31.542969,61.21541404724121,2023-12-09 20:52:15.584955,203136.44,11.5234375
2,11,759835.4,1123.948,43.75,34.53478455543518,2023-12-09 20:52:50.737333,240011.03,12.890625
3,21,893455.1,1123.948,50.097656,34.65546894073486,2023-12-09 20:53:26.026529,264410.84,13.8671875
4,31,997144.94,1123.948,54.882812,33.15136408805847,2023-12-09 20:53:59.790869,276151.97,14.355469
5,41,1071691.2,1123.948,57.910156,33.19565415382385,2023-12-09 20:54:33.592822,286212.53,14.84375
6,51,1141465.9,1152.5146,60.839844,33.0417058467865,2023-12-09 20:55:07.237481,288981.8,14.84375
7,61,1187138.6,1152.5146,62.402344,33.08387589454651,2023-12-09 20:55:40.940773,294656.88,15.0390625
8,71,1240548.6,1152.5146,64.55078,33.29317235946655,2023-12-09 20:56:14.853353,302699.62,15.332031
9,81,1278299.8,1152.5146,65.91797,33.26520657539368,2023-12-09 20:56:48.750422,305618.38,15.332031
10,91,1306925.5,1152.5146,66.796875,33.47226023674011,2023-12-09 20:57:22.841828,312674.75,15.625
11,101,1337492.2,1152.5146,67.87109,33.124427318573,2023-12-09 20:57:56.581560,318179.25,15.8203125
12,111,1370530.4,1152.5146,69.140625,33.017818450927734,2023-12-09 20:58:30.197594,322055.84,15.917969
13,121,1393700.1,1152.5146,69.921875,33.20195150375366,2023-12-09 20:59:03.993190,323958.94,15.917969
14,131,1413116.8,1152.5146,70.50781,33.0810489654541,2023-12-09 20:59:37.706300,326667.7,15.917969
15,141,1440513.2,1152.5146,71.38672,33.094152212142944,2023-12-09 21:00:11.419908,329021.88,15.917969
16,151,1466060.9,1152.5146,72.16797,33.500016927719116,2023-12-09 21:00:45.519898,333296.38,16.113281
17,161,1487711.2,1152.5146,72.75391,33.35276913642883,2023-12-09 21:01:19.460328,334562.78,16.113281
18,171,1501354.5,1152.5146,73.14453,33.194926500320435,2023-12-09 21:01:53.273044,337723.75,16.210938
19,181,1520985.2,1152.5146,73.828125,33.41110897064209,2023-12-09 21:02:27.314879,339038.78,16.210938
20,191,1536344.1,1152.5146,74.31641,33.357847929000854,2023-12-09 21:03:01.278398,340984.28,16.308594
21,201,1550961.8,1152.5146,74.609375,33.333739280700684,2023-12-09 21:03:35.224819,341400.88,16.308594
22,211,1563945.1,1152.5146,74.90234,32.86582541465759,2023-12-09 21:04:08.686539,341887.8,16.308594
