loop,iteration,qd_score,max_fitness,coverage,time,current_time
1,1,398015.72,444.4098,39.55078,45.73689889907837,2023-12-14 23:04:30.270272
2,11,610325.5,504.44708,58.789062,16.52027678489685,2023-12-14 23:04:47.086510
3,21,732589.7,617.28516,68.65234,16.402851819992065,2023-12-14 23:05:03.795029
4,31,815859.25,1044.8628,74.41406,16.540554761886597,2023-12-14 23:05:20.633549
5,41,872655.4,1044.8628,77.92969,16.50672149658203,2023-12-14 23:05:37.445065
6,51,922613.25,1044.8628,80.859375,16.41825795173645,2023-12-14 23:05:54.175382
7,61,957982.4,1044.8628,82.61719,16.406336069107056,2023-12-14 23:06:10.883399
8,71,987674.94,1044.8628,83.984375,16.577418327331543,2023-12-14 23:06:27.758843
9,81,1015770.1,1044.8628,85.15625,16.352559328079224,2023-12-14 23:06:44.412623
10,91,1038491.56,1048.5635,86.328125,16.337589025497437,2023-12-14 23:07:01.047921
11,101,1052672.8,1052.6901,86.62109,16.376198053359985,2023-12-14 23:07:17.720859
12,111,1065243.4,1052.6901,87.109375,16.66721248626709,2023-12-14 23:07:34.688872
13,121,1076983.1,1052.6901,87.5,16.61430335044861,2023-12-14 23:07:51.601501
14,131,1088063.4,1052.6901,87.79297,16.422261476516724,2023-12-14 23:08:08.322566
15,141,1100820.1,1052.6901,88.18359,16.327223539352417,2023-12-14 23:08:24.951487
16,151,1115517.5,1055.2625,88.76953,16.45634651184082,2023-12-14 23:08:41.708599
17,161,1122860.6,1055.2625,88.86719,16.53124713897705,2023-12-14 23:08:58.540714
18,171,1132948.2,1055.2625,89.16016,16.320401191711426,2023-12-14 23:09:15.156419
19,181,1141115.5,1055.2625,89.25781,16.56063175201416,2023-12-14 23:09:32.017206
20,191,1151624.8,1073.2356,89.55078,16.500515699386597,2023-12-14 23:09:48.815490
21,201,1161220.0,1073.2356,89.74609,16.34675931930542,2023-12-14 23:10:05.456934
22,211,1167917.4,1073.2356,89.84375,16.394212245941162,2023-12-14 23:10:22.151695
23,221,1177858.2,1090.5782,90.13672,16.29404902458191,2023-12-14 23:10:38.753722
24,231,1183182.9,1090.5782,90.234375,16.313990116119385,2023-12-14 23:10:55.363946
