loop,iteration,qd_score,max_fitness,coverage,time,current_time
1,1,426499.38,484.06183,41.69922,45.67047476768494,2023-12-15 03:49:53.102207
2,11,622376.1,579.93616,59.570312,17.257946014404297,2023-12-15 03:50:10.661423
3,21,730923.6,579.93616,68.55469,16.81772208213806,2023-12-15 03:50:27.788964
4,31,814472.8,580.5195,74.90234,16.902734518051147,2023-12-15 03:50:45.006686
5,41,877814.75,580.5195,79.39453,17.04761004447937,2023-12-15 03:51:02.369102
6,51,924606.75,629.1541,82.32422,16.840649604797363,2023-12-15 03:51:19.521070
7,61,957365.4,678.0812,84.17969,16.847089290618896,2023-12-15 03:51:36.679896
8,71,978600.1,678.0812,85.35156,16.476405143737793,2023-12-15 03:51:53.457213
9,81,992519.4,678.0812,85.74219,16.368903875350952,2023-12-15 03:52:10.140608
10,91,1012385.9,678.0812,86.81641,16.490943431854248,2023-12-15 03:52:26.942892
11,101,1024198.5,678.0812,87.30469,16.517990589141846,2023-12-15 03:52:43.772406
12,111,1030527.9,678.0812,87.40234,16.296831130981445,2023-12-15 03:53:00.376202
13,121,1037058.44,685.66565,87.59766,16.5660879611969,2023-12-15 03:53:17.243929
14,131,1041734.1,685.66565,87.69531,16.578664779663086,2023-12-15 03:53:34.126382
15,141,1048652.5,685.66565,87.98828,16.34026598930359,2023-12-15 03:53:50.774600
16,151,1054623.5,685.66565,88.28125,16.30616307258606,2023-12-15 03:54:07.383160
17,161,1060310.2,685.66565,88.57422,16.52341651916504,2023-12-15 03:54:24.207429
18,171,1065622.0,786.51843,88.76953,16.292084455490112,2023-12-15 03:54:40.818468
19,181,1067808.6,786.51843,88.76953,16.35089349746704,2023-12-15 03:54:57.473480
20,191,1069436.2,786.51843,88.76953,16.474759578704834,2023-12-15 03:55:14.250788
21,201,1072179.5,786.51843,88.86719,16.400541067123413,2023-12-15 03:55:30.950381
22,211,1073773.8,786.51843,88.86719,16.529361486434937,2023-12-15 03:55:47.778585
23,221,1078334.4,786.51843,89.0625,16.34133744239807,2023-12-15 03:56:04.421559
24,231,1080123.8,786.51843,89.0625,16.394805431365967,2023-12-15 03:56:21.114373
25,241,1083975.9,786.51843,89.16016,16.36802864074707,2023-12-15 03:56:37.781537
26,251,1086494.6,786.51843,89.16016,16.467227458953857,2023-12-15 03:56:54.549070
27,261,1088660.9,786.51843,89.16016,16.505144119262695,2023-12-15 03:57:11.356858
28,271,1091747.2,786.51843,89.16016,16.61250925064087,2023-12-15 03:57:28.270326
29,281,1094031.5,786.51843,89.16016,16.448692083358765,2023-12-15 03:57:45.039091
30,291,1097002.2,786.51843,89.16016,16.291346073150635,2023-12-15 03:58:01.632002
31,301,1100352.8,786.51843,89.25781,16.376861095428467,2023-12-15 03:58:18.309736
32,311,1104094.5,786.51843,89.25781,16.4481303691864,2023-12-15 03:58:35.060294
33,321,1109931.5,786.51843,89.35547,16.3337242603302,2023-12-15 03:58:51.699388
34,331,1116201.0,1015.94574,89.55078,16.302091598510742,2023-12-15 03:59:08.299276
35,341,1121862.2,1015.94574,89.55078,16.29055690765381,2023-12-15 03:59:24.890184
36,351,1128772.4,1025.3735,89.74609,16.40868306159973,2023-12-15 03:59:41.597294
37,361,1141814.8,1064.7256,89.94141,16.281187295913696,2023-12-15 03:59:58.177205
38,371,1150583.8,1064.7256,90.03906,16.331013679504395,2023-12-15 04:00:14.807999
39,381,1162202.6,1064.7256,90.13672,16.32988691329956,2023-12-15 04:00:31.437108
40,391,1176404.2,1064.7256,90.33203,16.290476083755493,2023-12-15 04:00:48.034520
41,401,1187953.5,1064.7256,90.33203,16.288806915283203,2023-12-15 04:01:04.633363
42,411,1206850.0,1064.7256,90.625,16.30636978149414,2023-12-15 04:01:21.254604
43,421,1223604.8,1067.1504,90.82031,16.37591576576233,2023-12-15 04:01:37.939342
44,431,1244645.2,1067.1504,90.82031,16.205361366271973,2023-12-15 04:01:54.447404
45,441,1264573.5,1103.4526,91.11328,16.244768857955933,2023-12-15 04:02:10.995725
46,451,1285292.5,1103.4526,91.11328,16.214409351348877,2023-12-15 04:02:27.509806
47,461,1308231.5,1113.0776,91.21094,16.2385311126709,2023-12-15 04:02:44.050206
48,471,1331582.9,1113.0776,91.21094,16.308465003967285,2023-12-15 04:03:00.672340
49,481,1354107.0,1115.8574,91.40625,16.390692710876465,2023-12-15 04:03:17.375325
50,491,1373904.9,1115.8574,91.40625,16.18171191215515,2023-12-15 04:03:33.869208
51,501,1398008.0,1115.8574,91.50391,16.12959909439087,2023-12-15 04:03:50.307433
52,511,1416737.0,1145.2906,91.50391,16.232813835144043,2023-12-15 04:04:06.840745
53,521,1438771.8,1145.2906,91.50391,16.163739442825317,2023-12-15 04:04:23.307062
54,531,1463430.9,1165.5117,91.50391,16.214193105697632,2023-12-15 04:04:39.829477
55,541,1486252.8,1165.5117,91.50391,16.231805086135864,2023-12-15 04:04:56.370013
56,551,1504349.0,1183.4011,91.60156,16.313286304473877,2023-12-15 04:05:12.988009
57,561,1529514.2,1219.5956,91.69922,16.201860427856445,2023-12-15 04:05:29.496009
58,571,1550716.0,1219.5956,91.796875,16.118694067001343,2023-12-15 04:05:45.947621
59,581,1571228.6,1358.4697,91.89453,16.045058965682983,2023-12-15 04:06:02.292124
60,591,1586052.1,1358.4697,91.89453,16.25247359275818,2023-12-15 04:06:18.842571
61,601,1598215.1,1358.4697,91.89453,16.308246612548828,2023-12-15 04:06:35.449877
62,611,1608549.0,1358.4697,91.89453,16.105324506759644,2023-12-15 04:06:51.854685
63,621,1619591.0,1358.4697,91.89453,16.131300449371338,2023-12-15 04:07:08.288076
