loop,iteration,qd_score,max_fitness,coverage,time,current_time,coverage1,coverage2
1,1,6057.3896,-69.58014,6.25,4.7987024784088135,2023-12-14 19:23:11.706700,5.2734375,4.1992188
2,11,8911.664,-68.47227,8.984375,0.22943735122680664,2023-12-14 19:23:12.234072,7.03125,5.6640625
3,21,11862.232,-66.66737,11.328125,0.26755738258361816,2023-12-14 19:23:12.806251,8.886719,6.8359375
4,31,13893.82,-66.66737,13.28125,0.23831701278686523,2023-12-14 19:23:13.340966,10.15625,7.5195312
5,41,15480.344,-66.66737,14.550781,0.23157882690429688,2023-12-14 19:23:13.888880,11.230469,8.203125
6,51,16521.445,-66.66302,15.4296875,0.23082637786865234,2023-12-14 19:23:14.418399,11.621094,8.984375
7,61,18102.256,-66.66302,16.699219,0.23135042190551758,2023-12-14 19:23:14.955037,12.207031,9.9609375
8,71,19948.238,-66.66302,18.066406,0.2324378490447998,2023-12-14 19:23:15.487226,13.378906,10.3515625
9,81,20293.414,-66.66302,18.359375,0.23121166229248047,2023-12-14 19:23:16.021946,13.378906,10.839844
10,91,21033.525,-66.66302,18.847656,0.2322707176208496,2023-12-14 19:23:16.552486,13.769531,11.1328125
11,101,21598.021,-66.66302,19.238281,0.24385333061218262,2023-12-14 19:23:17.100416,14.160156,11.035156
12,111,22147.355,-66.66302,19.53125,0.23276090621948242,2023-12-14 19:23:17.636822,15.0390625,11.1328125
13,121,23169.207,-66.66302,20.214844,0.23001790046691895,2023-12-14 19:23:18.165077,15.4296875,11.425781
14,131,24451.076,-66.66302,21.289062,0.23088312149047852,2023-12-14 19:23:18.693766,16.210938,11.9140625
15,141,25575.037,-66.66302,22.167969,0.23410511016845703,2023-12-14 19:23:19.227106,16.308594,12.109375
16,151,26332.27,-66.66302,22.753906,0.2305459976196289,2023-12-14 19:23:19.757213,16.796875,12.402344
17,161,26723.684,-66.66302,23.046875,0.23295021057128906,2023-12-14 19:23:20.289437,16.699219,12.6953125
18,171,27333.598,-66.66302,23.4375,0.24493789672851562,2023-12-14 19:23:20.833795,17.285156,12.988281
19,181,27711.848,-66.48332,23.632812,0.24981021881103516,2023-12-14 19:23:21.408383,17.480469,13.183594
20,191,28480.934,-66.48332,24.121094,0.2318897247314453,2023-12-14 19:23:21.940766,18.066406,13.28125
21,201,28854.012,-66.48332,24.316406,0.23303651809692383,2023-12-14 19:23:22.475012,18.554688,13.769531
22,211,29366.852,-66.48332,24.707031,0.23195099830627441,2023-12-14 19:23:23.005295,18.75,14.2578125
23,221,30059.709,-66.48332,25.195312,0.23320364952087402,2023-12-14 19:23:23.539859,19.433594,14.6484375
24,231,31147.422,-66.48332,26.074219,0.23277592658996582,2023-12-14 19:23:24.071359,19.824219,14.941406
25,241,31720.547,-55.01526,26.5625,0.27340102195739746,2023-12-14 19:23:24.650540,19.433594,15.234375
26,251,32299.977,-54.34439,27.050781,0.23225903511047363,2023-12-14 19:23:25.181612,19.921875,15.136719
27,261,33419.258,-54.34439,28.027344,0.23286819458007812,2023-12-14 19:23:25.714992,20.703125,15.234375
28,271,34499.39,-54.34439,29.003906,0.23345732688903809,2023-12-14 19:23:26.247850,21.289062,15.4296875
29,281,34868.027,-54.34439,29.296875,0.2319502830505371,2023-12-14 19:23:26.781139,21.191406,15.722656
30,291,35648.89,-54.34439,29.882812,0.23897314071655273,2023-12-14 19:23:27.322744,21.386719,16.015625
31,301,36161.76,-54.34439,30.273438,0.23035359382629395,2023-12-14 19:23:27.856259,21.875,16.113281
32,311,36712.59,-54.34439,30.566406,0.23135972023010254,2023-12-14 19:23:28.391326,22.070312,15.722656
33,321,37540.07,-54.34439,31.152344,0.2312910556793213,2023-12-14 19:23:28.925209,22.460938,16.113281
34,331,38386.05,-54.34439,31.835938,0.23136186599731445,2023-12-14 19:23:29.460388,22.753906,16.210938
35,341,38881.91,-54.34439,32.128906,0.2442164421081543,2023-12-14 19:23:30.007900,22.65625,16.503906
36,351,39267.766,-54.34439,32.32422,0.24611854553222656,2023-12-14 19:23:30.560201,22.753906,16.40625
37,361,39603.88,-54.34439,32.51953,0.23215818405151367,2023-12-14 19:23:31.092638,22.949219,16.601562
38,371,40237.367,-54.34439,33.007812,0.23112773895263672,2023-12-14 19:23:31.663552,23.046875,16.699219
39,381,40766.332,-54.34439,33.30078,0.23114824295043945,2023-12-14 19:23:32.194557,23.242188,16.992188
40,391,41001.883,-54.34439,33.496094,0.23113679885864258,2023-12-14 19:23:32.733439,23.828125,17.382812
41,401,41331.082,-54.34439,33.789062,0.2313847541809082,2023-12-14 19:23:33.268960,24.414062,17.480469
42,411,41452.375,-54.34439,33.789062,0.23051977157592773,2023-12-14 19:23:33.807029,24.414062,17.480469
43,421,41887.727,-54.34439,34.08203,0.23448610305786133,2023-12-14 19:23:34.345315,24.316406,17.382812
44,431,42359.805,-54.34439,34.375,0.2322826385498047,2023-12-14 19:23:34.882905,24.511719,17.382812
45,441,42567.63,-54.34439,34.472656,0.23154664039611816,2023-12-14 19:23:35.420107,24.511719,17.773438
46,451,43017.277,-54.34439,34.86328,0.23152875900268555,2023-12-14 19:23:35.954176,24.414062,17.871094
47,461,43112.395,-54.34439,34.86328,0.23049378395080566,2023-12-14 19:23:36.489562,24.511719,18.164062
48,471,43701.613,-54.34439,35.351562,0.23202991485595703,2023-12-14 19:23:37.022497,25.0,18.554688
49,481,44031.258,-54.34439,35.546875,0.23253130912780762,2023-12-14 19:23:37.559091,25.097656,19.140625
50,491,44418.195,-54.34439,35.839844,0.23198652267456055,2023-12-14 19:23:38.092801,25.488281,19.042969
51,501,44580.457,-54.34439,36.035156,0.23220443725585938,2023-12-14 19:23:38.628669,25.976562,19.042969
52,511,44919.33,-54.34439,36.23047,0.2336134910583496,2023-12-14 19:23:39.163142,26.269531,18.945312
53,521,45257.99,-54.34439,36.523438,0.23111319541931152,2023-12-14 19:23:39.696162,26.464844,18.847656
54,531,45329.863,-54.34439,36.621094,0.23196744918823242,2023-12-14 19:23:40.278767,26.660156,19.042969
55,541,45381.023,-54.34439,36.621094,0.23119258880615234,2023-12-14 19:23:40.814320,26.5625,19.042969
56,551,46119.87,-44.29977,37.109375,0.23163628578186035,2023-12-14 19:23:41.353110,26.464844,19.140625
57,561,46211.145,-44.29977,37.109375,0.23060345649719238,2023-12-14 19:23:41.887391,26.269531,18.652344
58,571,46469.324,-44.29977,37.304688,0.2319655418395996,2023-12-14 19:23:42.424877,26.367188,18.457031
59,581,46574.05,-44.29977,37.402344,0.24624300003051758,2023-12-14 19:23:42.974001,26.464844,18.457031
60,591,46703.695,-44.29977,37.5,0.23224616050720215,2023-12-14 19:23:43.510004,26.367188,18.359375
61,601,46772.926,-44.29977,37.597656,0.23086285591125488,2023-12-14 19:23:44.045413,26.367188,18.457031
62,611,46861.043,-44.29977,37.695312,0.23846721649169922,2023-12-14 19:23:44.588131,26.757812,18.652344
63,621,47255.387,-34.09617,37.98828,0.2524068355560303,2023-12-14 19:23:45.141922,26.953125,18.652344
64,631,47527.566,-34.09617,38.28125,0.2326796054840088,2023-12-14 19:23:45.677585,26.953125,18.75
65,641,47765.977,-34.09617,38.476562,0.23369574546813965,2023-12-14 19:23:46.214185,27.441406,18.847656
66,651,48173.746,-34.09617,38.76953,0.2333054542541504,2023-12-14 19:23:46.753627,27.832031,19.140625
67,661,48384.945,-34.09617,38.867188,0.2329421043395996,2023-12-14 19:23:47.287850,28.027344,19.140625
68,671,48619.35,-34.09617,39.0625,0.23311829566955566,2023-12-14 19:23:47.827105,28.027344,19.140625
69,681,48654.07,-34.09617,39.0625,0.23204445838928223,2023-12-14 19:23:48.362754,28.027344,19.238281
70,691,48984.312,-34.09617,39.257812,0.2312183380126953,2023-12-14 19:23:48.897348,28.320312,19.433594
71,701,49266.227,-33.516075,39.35547,0.24746990203857422,2023-12-14 19:23:49.448392,28.222656,19.628906
