loop,iteration,qd_score1,max_fitness,coverage1,time,current_time,qd_score2,coverage2
1,1,-70963.58,-161.96452,10.449219,17.44082283973694,2023-12-15 04:01:14.979230,-41616.086,7.6171875
2,11,-84482.83,-161.96452,12.792969,5.68274712562561,2023-12-15 04:01:21.333263,-42951.41,8.3984375
3,21,-95281.38,-139.40222,14.746094,5.411207675933838,2023-12-15 04:01:27.438872,-39973.062,8.59375
4,31,-107475.89,-139.40222,16.894531,5.6854705810546875,2023-12-15 04:01:33.945463,-40009.625,9.082031
5,41,-113386.34,-139.40222,17.871094,5.406026840209961,2023-12-15 04:01:39.971500,-38820.043,9.082031
6,51,-122246.54,-137.32736,19.140625,5.438777923583984,2023-12-15 04:01:46.191110,-40285.69,9.5703125
7,61,-126459.58,-137.32736,19.726562,5.706270933151245,2023-12-15 04:01:52.706993,-40088.14,9.667969
8,71,-131345.98,-136.84204,20.507812,5.562628746032715,2023-12-15 04:01:59.061003,-41258.062,10.058594
9,81,-134418.22,-136.84204,21.191406,5.5615715980529785,2023-12-15 04:02:05.423623,-42914.76,10.3515625
10,91,-138864.4,-136.84204,21.875,5.659945726394653,2023-12-15 04:02:11.743666,-42864.17,10.449219
11,101,-141326.48,-136.84204,22.460938,5.540995121002197,2023-12-15 04:02:18.137297,-43700.637,10.644531
12,111,-144717.73,-136.84204,23.046875,5.599814414978027,2023-12-15 04:02:24.442595,-43110.92,10.644531
13,121,-147358.4,-136.84204,23.535156,5.84917688369751,2023-12-15 04:02:31.035591,-42774.066,10.7421875
14,131,-149384.75,-136.84204,23.925781,5.53217339515686,2023-12-15 04:02:37.402509,-41686.707,10.7421875
15,141,-153014.5,-136.84204,24.414062,5.735821485519409,2023-12-15 04:02:43.897610,-42704.97,10.9375
16,151,-156850.88,-136.84204,25.0,5.705545663833618,2023-12-15 04:02:50.299440,-42215.875,10.9375
17,161,-159608.81,-136.84204,25.488281,5.679982662200928,2023-12-15 04:02:56.747928,-42351.52,11.035156
18,171,-161082.9,-136.84204,25.78125,5.787616014480591,2023-12-15 04:03:03.195923,-43159.938,11.230469
19,181,-164811.16,-136.84204,26.367188,5.712118864059448,2023-12-15 04:03:09.637283,-42782.55,11.230469
20,191,-165264.39,-136.84204,26.464844,5.658573150634766,2023-12-15 04:03:16.086519,-42473.45,11.230469
21,201,-167081.03,-136.84204,26.855469,5.726617336273193,2023-12-15 04:03:22.598193,-41276.42,11.230469
22,211,-169153.98,-136.84204,27.246094,5.6563639640808105,2023-12-15 04:03:28.973233,-41020.305,11.230469
23,221,-173459.9,-136.84204,27.832031,5.34548807144165,2023-12-15 04:03:35.083601,-40934.523,11.230469
24,231,-175992.88,-136.84204,28.320312,5.814148664474487,2023-12-15 04:03:41.633262,-40869.42,11.230469
25,241,-176537.89,-136.84204,28.417969,5.48371434211731,2023-12-15 04:03:47.814715,-40507.383,11.230469
26,251,-177181.38,-134.40219,28.515625,5.55663537979126,2023-12-15 04:03:54.140885,-39706.633,11.230469
27,261,-177907.86,-134.40219,28.710938,5.7690606117248535,2023-12-15 04:04:00.610593,-39530.195,11.230469
28,271,-180025.44,-134.40219,29.101562,5.421923637390137,2023-12-15 04:04:06.703498,-38974.953,11.230469
29,281,-181023.48,-134.40219,29.296875,5.471766710281372,2023-12-15 04:04:13.051633,-38233.285,11.230469
30,291,-182622.88,-134.40219,29.589844,5.6401402950286865,2023-12-15 04:04:19.406730,-38859.85,11.328125
31,301,-188414.78,-134.40219,30.566406,5.380593776702881,2023-12-15 04:04:25.427994,-38704.605,11.328125
32,311,-191603.31,-134.40219,31.25,5.307677745819092,2023-12-15 04:04:31.406470,-38555.176,11.328125
33,321,-192362.16,-134.40219,31.445312,5.504861116409302,2023-12-15 04:04:37.651960,-38286.797,11.328125
34,331,-191954.9,-134.40219,31.445312,5.252625465393066,2023-12-15 04:04:43.601418,-38467.48,11.425781
35,341,-192808.33,-134.40219,31.640625,5.168724775314331,2023-12-15 04:04:49.450735,-38066.156,11.425781
36,351,-193017.6,-134.40219,31.738281,5.284565687179565,2023-12-15 04:04:55.583793,-37537.125,11.5234375
37,361,-193718.94,-134.40219,31.933594,5.336999416351318,2023-12-15 04:05:01.605370,-38278.97,11.621094
38,371,-194678.16,-134.40219,32.226562,5.385657548904419,2023-12-15 04:05:07.631400,-38861.793,11.71875
39,381,-195201.48,-134.40219,32.421875,5.113152503967285,2023-12-15 04:05:13.406073,-39423.086,11.816406
40,391,-197375.7,-134.40219,32.8125,5.359320640563965,2023-12-15 04:05:19.522909,-39444.74,11.9140625
41,401,-198389.81,-134.40219,33.007812,5.530055284500122,2023-12-15 04:05:25.694397,-39444.74,11.9140625
42,411,-201557.62,-134.40219,33.496094,5.293106317520142,2023-12-15 04:05:31.685966,-39399.664,11.9140625
43,421,-204821.19,-134.40219,33.984375,5.294709205627441,2023-12-15 04:05:37.651569,-39905.17,12.011719
44,431,-207733.66,-134.40219,34.472656,5.450619459152222,2023-12-15 04:05:43.827103,-41131.555,12.207031
45,441,-210555.06,-134.40219,34.86328,5.216649293899536,2023-12-15 04:05:49.770076,-40981.117,12.207031
46,451,-211972.3,-134.40219,35.058594,5.6821839809417725,2023-12-15 04:05:56.101551,-41509.67,12.3046875
47,461,-213531.38,-134.40219,35.351562,5.432109117507935,2023-12-15 04:06:02.209220,-41327.74,12.3046875
48,471,-215060.78,-134.40219,35.64453,5.366959810256958,2023-12-15 04:06:08.269577,-41880.094,12.402344
49,481,-215589.84,-134.40219,35.742188,5.569007396697998,2023-12-15 04:06:14.522040,-41805.617,12.402344
50,491,-215488.03,-134.40219,35.839844,5.438289642333984,2023-12-15 04:06:20.640170,-41791.258,12.402344
51,501,-215436.0,-134.40219,35.839844,5.558595657348633,2023-12-15 04:06:26.864839,-41778.566,12.402344
52,511,-216170.5,-134.40219,36.035156,5.591524362564087,2023-12-15 04:06:33.098619,-41701.766,12.402344
53,521,-218269.3,-134.40219,36.42578,5.25714898109436,2023-12-15 04:06:39.026310,-41701.766,12.402344
54,531,-219384.69,-134.40219,36.621094,5.546131134033203,2023-12-15 04:06:45.320835,-41676.28,12.402344
55,541,-219993.48,-134.40219,36.816406,5.576970100402832,2023-12-15 04:06:51.664369,-41657.25,12.402344
56,551,-220884.47,-134.40219,36.914062,5.477158546447754,2023-12-15 04:06:57.820058,-41630.96,12.402344
57,561,-221097.88,-134.40219,37.01172,5.6351940631866455,2023-12-15 04:07:04.167066,-41112.145,12.402344
58,571,-223406.64,-133.29745,37.5,5.548420429229736,2023-12-15 04:07:10.362617,-41689.645,12.5
59,581,-223771.53,-133.29745,37.597656,5.424467086791992,2023-12-15 04:07:16.520294,-41689.645,12.5
60,591,-223938.81,-133.29745,37.695312,5.478434801101685,2023-12-15 04:07:22.672104,-42432.938,12.597656
61,601,-224774.0,-133.29745,37.890625,5.244656562805176,2023-12-15 04:07:28.538793,-42236.055,12.597656
62,611,-225877.94,-133.29745,38.085938,5.388983249664307,2023-12-15 04:07:34.563385,-42116.6,12.597656
63,621,-226425.56,-133.29745,38.183594,5.291361093521118,2023-12-15 04:07:40.532495,-41679.305,12.597656
64,631,-227288.03,-133.29745,38.378906,5.3224780559539795,2023-12-15 04:07:46.482864,-42427.953,12.6953125
65,641,-228704.6,-133.29745,38.57422,5.496015548706055,2023-12-15 04:07:52.603971,-42427.953,12.6953125
66,651,-230409.83,-133.29745,38.867188,5.4375786781311035,2023-12-15 04:07:58.762267,-42246.402,12.6953125
67,661,-231686.16,-133.29745,39.160156,5.59735369682312,2023-12-15 04:08:05.057668,-42167.547,12.6953125
68,671,-231985.25,-133.29745,39.257812,5.43507719039917,2023-12-15 04:08:11.121350,-42167.547,12.6953125
69,681,-231850.06,-133.29745,39.257812,5.26304292678833,2023-12-15 04:08:17.014068,-42195.617,12.792969
70,691,-233146.73,-133.29745,39.453125,5.443251132965088,2023-12-15 04:08:23.182181,-42927.242,12.890625
71,701,-233951.19,-133.29745,39.55078,5.32176947593689,2023-12-15 04:08:29.132739,-42658.875,12.890625
72,711,-233829.12,-133.29745,39.55078,5.49310040473938,2023-12-15 04:08:35.264092,-42633.324,12.890625
73,721,-234627.72,-133.29745,39.648438,5.490018844604492,2023-12-15 04:08:41.441300,-42574.336,12.890625
74,731,-235096.8,-133.29745,39.746094,5.304669141769409,2023-12-15 04:08:47.446342,-42476.754,12.890625
75,741,-237220.2,-133.29745,40.039062,5.4577906131744385,2023-12-15 04:08:53.566962,-42476.754,12.890625
76,751,-237319.62,-133.29745,40.13672,5.375203847885132,2023-12-15 04:08:59.713055,-42463.1,12.890625
77,761,-237210.47,-133.29745,40.13672,5.273946523666382,2023-12-15 04:09:05.652384,-42463.1,12.890625
78,771,-238599.36,-133.29745,40.33203,5.36051344871521,2023-12-15 04:09:11.653864,-42463.1,12.890625
79,781,-239100.9,-133.29745,40.429688,5.347434759140015,2023-12-15 04:09:17.631494,-42463.1,12.890625
80,791,-239684.31,-133.29745,40.527344,5.268387317657471,2023-12-15 04:09:23.560350,-42450.734,12.890625
81,801,-240360.69,-133.29745,40.722656,5.387080669403076,2023-12-15 04:09:29.568398,-42321.805,12.890625
82,811,-240896.7,-133.29745,40.820312,5.4766809940338135,2023-12-15 04:09:35.720780,-42121.12,12.890625
83,821,-241499.9,-133.29745,40.91797,5.461211681365967,2023-12-15 04:09:41.959969,-42087.938,12.890625
84,831,-242054.69,-133.29745,41.015625,5.382988214492798,2023-12-15 04:09:47.973981,-42041.816,12.890625
85,841,-241925.25,-133.29745,41.015625,5.416595458984375,2023-12-15 04:09:54.045140,-42371.85,12.988281
86,851,-242355.38,-133.29745,41.11328,5.25545859336853,2023-12-15 04:09:59.935553,-42371.85,12.988281
87,861,-243828.61,-133.29745,41.308594,5.527063846588135,2023-12-15 04:10:06.096229,-42357.906,12.988281
88,871,-243733.48,-133.29745,41.308594,5.511139392852783,2023-12-15 04:10:12.299891,-42357.906,12.988281
89,881,-243682.88,-133.29745,41.308594,5.3968422412872314,2023-12-15 04:10:18.401315,-42029.656,12.988281
90,891,-245468.28,-133.29745,41.601562,5.39954137802124,2023-12-15 04:10:24.497503,-42764.586,13.0859375
91,901,-246199.73,-133.29745,41.69922,5.389544725418091,2023-12-15 04:10:30.754235,-42645.867,13.0859375
92,911,-246798.1,-133.29745,41.89453,5.495192289352417,2023-12-15 04:10:36.948532,-42645.867,13.0859375
93,921,-247454.81,-133.29745,41.992188,5.534806966781616,2023-12-15 04:10:43.132066,-42416.04,13.0859375
94,931,-250406.64,-133.29745,42.382812,5.441457986831665,2023-12-15 04:10:49.205732,-42398.21,13.0859375
95,941,-252024.38,-133.29745,42.578125,5.500494003295898,2023-12-15 04:10:55.329651,-42389.438,13.0859375
96,951,-253256.47,-133.29745,42.773438,5.49231743812561,2023-12-15 04:11:01.495651,-42323.227,13.0859375
97,961,-253542.34,-133.29745,42.871094,5.5116870403289795,2023-12-15 04:11:07.680727,-43072.867,13.183594
98,971,-253968.6,-133.29745,42.96875,5.365645885467529,2023-12-15 04:11:13.700765,-42866.598,13.183594
99,981,-254651.5,-133.29745,43.066406,5.341127157211304,2023-12-15 04:11:19.687703,-42866.598,13.183594
100,991,-255012.67,-133.29745,43.164062,5.371210813522339,2023-12-15 04:11:25.789679,-42796.023,13.183594
101,1001,-254948.92,-133.29745,43.26172,5.420683145523071,2023-12-15 04:11:31.843906,-42774.637,13.183594
102,1011,-255775.81,-133.29745,43.359375,5.480195999145508,2023-12-15 04:11:37.987885,-43468.168,13.28125
103,1021,-257483.97,-133.29745,43.652344,5.448181629180908,2023-12-15 04:11:44.081216,-43467.977,13.28125
104,1031,-260227.36,-132.88995,44.140625,5.595422983169556,2023-12-15 04:11:50.335339,-42891.027,13.28125
105,1041,-260847.38,-132.88995,44.23828,5.339462518692017,2023-12-15 04:11:56.358332,-43228.277,13.378906
106,1051,-260535.53,-132.88995,44.23828,5.412174940109253,2023-12-15 04:12:02.404099,-42902.93,13.378906
107,1061,-261038.48,-132.88995,44.433594,5.470906972885132,2023-12-15 04:12:08.532456,-42902.93,13.378906
108,1071,-260933.14,-132.88995,44.433594,5.39092230796814,2023-12-15 04:12:14.730994,-42884.125,13.378906
109,1081,-262063.94,-132.88995,44.628906,5.3249945640563965,2023-12-15 04:12:20.681693,-42758.266,13.378906
110,1091,-263351.72,-132.88995,44.82422,5.533175468444824,2023-12-15 04:12:26.944385,-42747.535,13.378906
111,1101,-265818.3,-132.88995,45.214844,5.431330919265747,2023-12-15 04:12:33.006048,-42747.535,13.378906
112,1111,-266972.72,-132.88995,45.410156,5.429222583770752,2023-12-15 04:12:39.128304,-42724.457,13.378906
113,1121,-269223.8,-132.88995,45.703125,5.498854160308838,2023-12-15 04:12:45.299811,-42724.457,13.378906
114,1131,-270141.2,-132.88995,45.80078,5.5375707149505615,2023-12-15 04:12:51.500376,-42724.457,13.378906
115,1141,-271175.16,-132.88995,46.09375,5.267220973968506,2023-12-15 04:12:57.437802,-42718.22,13.378906
116,1151,-271099.88,-132.88995,46.09375,5.449295282363892,2023-12-15 04:13:03.625133,-42420.824,13.378906
117,1161,-270596.38,-132.88995,46.09375,5.276794195175171,2023-12-15 04:13:09.670333,-42420.824,13.378906
118,1171,-271620.2,-132.88995,46.289062,5.3539299964904785,2023-12-15 04:13:15.764640,-42400.688,13.378906
119,1181,-271509.6,-132.88995,46.289062,5.4038708209991455,2023-12-15 04:13:21.829129,-42400.688,13.378906
120,1191,-272756.94,-132.88995,46.484375,5.565405607223511,2023-12-15 04:13:28.120485,-42400.688,13.378906
121,1201,-272010.62,-112.41196,46.484375,5.477854013442993,2023-12-15 04:13:34.228237,-42378.57,13.378906
122,1211,-273378.9,-112.41196,46.679688,5.412976264953613,2023-12-15 04:13:40.303013,-42378.57,13.378906
123,1221,-275140.72,-112.41196,46.972656,5.449321746826172,2023-12-15 04:13:46.390791,-42378.57,13.378906
124,1231,-276938.56,-112.41196,47.265625,5.306715965270996,2023-12-15 04:13:52.352233,-42347.33,13.378906
125,1241,-276938.56,-112.41196,47.265625,5.3629772663116455,2023-12-15 04:13:58.348060,-42118.992,13.378906
126,1251,-278052.16,-112.41196,47.460938,5.52121901512146,2023-12-15 04:14:04.509896,-42861.008,13.4765625
127,1261,-278736.6,-112.41196,47.558594,5.356918811798096,2023-12-15 04:14:10.525317,-42735.066,13.4765625
128,1271,-278285.84,-112.41196,47.558594,5.39229679107666,2023-12-15 04:14:16.678217,-42375.42,13.4765625
129,1281,-280302.94,-112.41196,47.851562,5.377875089645386,2023-12-15 04:14:22.732881,-42375.42,13.4765625
130,1291,-282487.56,-112.41196,48.14453,5.378288745880127,2023-12-15 04:14:28.754989,-42326.734,13.4765625
131,1301,-283013.7,-112.41196,48.242188,5.553943395614624,2023-12-15 04:14:34.971361,-42326.734,13.4765625
132,1311,-282920.47,-112.41196,48.242188,5.472241401672363,2023-12-15 04:14:41.117364,-42263.07,13.4765625
133,1321,-285138.6,-112.41196,48.535156,5.50248646736145,2023-12-15 04:14:47.260778,-42263.07,13.4765625
134,1331,-286202.0,-112.41196,48.632812,5.334090709686279,2023-12-15 04:14:53.340494,-43002.438,13.574219
135,1341,-286488.6,-112.41196,48.73047,5.36615777015686,2023-12-15 04:14:59.383450,-43002.438,13.574219
136,1351,-287210.28,-112.41196,48.828125,5.408593416213989,2023-12-15 04:15:05.430069,-42983.28,13.574219
137,1361,-287826.12,-112.41196,48.92578,5.260653257369995,2023-12-15 04:15:11.333338,-44301.453,13.769531
138,1371,-290453.8,-112.41196,49.21875,5.290250301361084,2023-12-15 04:15:17.266310,-44914.805,13.8671875
