loop,iteration,qd_score1,max_fitness,coverage1,time,current_time,qd_score2,coverage2
1,1,117.173515,0.60362345,7.03125,14.916097402572632,2023-12-08 20:24:24.130500,180.10922,10.15625
2,11,153.45172,0.60362345,9.1796875,1.347170352935791,2023-12-08 20:24:26.091886,228.89575,12.597656
3,21,176.5154,0.6118058,10.449219,1.4409565925598145,2023-12-08 20:24:28.227007,277.54785,15.0390625
4,31,192.70596,0.6118058,11.425781,1.4014601707458496,2023-12-08 20:24:30.319323,327.88574,17.578125
5,41,204.39651,0.6118058,12.109375,1.4195735454559326,2023-12-08 20:24:32.350326,354.38702,18.847656
6,51,215.18631,0.6118058,12.792969,1.2993042469024658,2023-12-08 20:24:34.301492,382.33023,20.3125
7,61,230.32877,0.61282945,13.671875,1.3235583305358887,2023-12-08 20:24:36.220999,402.41266,21.191406
8,71,244.74654,0.61303425,14.550781,1.4042713642120361,2023-12-08 20:24:38.234540,419.56665,21.875
9,81,258.0941,0.62112105,15.332031,1.321207046508789,2023-12-08 20:24:40.284757,442.9383,22.949219
10,91,264.43195,0.62112105,15.722656,1.4074032306671143,2023-12-08 20:24:42.380791,463.79898,24.023438
11,101,270.0537,0.62112105,16.015625,1.3330678939819336,2023-12-08 20:24:44.348226,480.7967,24.902344
12,111,278.0669,0.62112105,16.503906,1.3934645652770996,2023-12-08 20:24:46.388048,489.5691,25.195312
13,121,279.78943,0.62112105,16.601562,1.3468589782714844,2023-12-08 20:24:48.350999,504.95233,25.878906
14,131,284.821,0.62112105,16.894531,1.3376216888427734,2023-12-08 20:24:50.369970,517.5534,26.464844
15,141,290.48987,0.623507,17.285156,1.3748650550842285,2023-12-08 20:24:52.376593,532.368,27.246094
16,151,290.54565,0.623507,17.285156,1.360255241394043,2023-12-08 20:24:54.356191,537.9614,27.441406
17,161,292.28168,0.623507,17.382812,1.3679955005645752,2023-12-08 20:24:56.431190,544.77026,27.636719
18,171,294.40018,0.623507,17.480469,1.3799452781677246,2023-12-08 20:24:58.428757,554.87683,28.027344
19,181,297.33807,0.623507,17.675781,1.3907310962677002,2023-12-08 20:25:00.475987,561.4719,28.320312
20,191,300.20535,0.623507,17.871094,1.379453420639038,2023-12-08 20:25:02.496071,574.1124,29.003906
21,201,304.95837,0.623507,18.164062,1.4232382774353027,2023-12-08 20:25:04.593720,583.3335,29.492188
22,211,308.1184,0.623507,18.359375,1.400212287902832,2023-12-08 20:25:06.604896,593.1352,29.980469
23,221,309.66226,0.623507,18.457031,1.4527790546417236,2023-12-08 20:25:08.801016,604.3098,30.566406
24,231,315.81345,0.623507,18.847656,1.4220480918884277,2023-12-08 20:25:10.954591,612.786,30.957031
25,241,323.05548,0.623507,19.238281,1.3433959484100342,2023-12-08 20:25:13.010826,623.053,31.445312
26,251,327.05725,0.623507,19.433594,1.355832815170288,2023-12-08 20:25:15.052957,626.54126,31.542969
27,261,331.60757,0.623507,19.726562,1.4278607368469238,2023-12-08 20:25:17.154728,634.7977,31.933594
28,271,337.91397,0.623507,20.117188,1.4249749183654785,2023-12-08 20:25:19.283123,642.67395,32.32422
29,281,342.8371,0.623507,20.410156,1.3556811809539795,2023-12-08 20:25:21.272090,649.67633,32.617188
30,291,348.54407,0.623507,20.703125,1.3456001281738281,2023-12-08 20:25:23.373895,656.0509,32.910156
31,301,350.04813,0.623507,20.800781,1.3940556049346924,2023-12-08 20:25:25.406318,658.1273,32.910156
32,311,351.73035,0.623507,20.898438,1.4136219024658203,2023-12-08 20:25:27.450718,660.3981,33.007812
33,321,357.91336,0.623507,21.289062,1.4305658340454102,2023-12-08 20:25:29.558295,664.8995,33.203125
34,331,361.1321,0.623507,21.484375,1.3657093048095703,2023-12-08 20:25:31.814202,666.92236,33.30078
35,341,361.15997,0.623507,21.484375,1.3683445453643799,2023-12-08 20:25:33.923571,670.5834,33.398438
36,351,361.16647,0.623507,21.484375,1.3524911403656006,2023-12-08 20:25:35.890445,671.6,33.398438
37,361,362.95938,0.62536204,21.582031,1.3739674091339111,2023-12-08 20:25:38.066186,673.3606,33.398438
38,371,366.44116,0.62536204,21.777344,1.443906545639038,2023-12-08 20:25:40.124029,677.7341,33.59375
39,381,369.72162,0.62536204,21.972656,1.4574260711669922,2023-12-08 20:25:42.200586,682.6179,33.789062
40,391,372.84738,0.62536204,22.167969,1.4247441291809082,2023-12-08 20:25:44.262192,689.43365,34.08203
41,401,379.14557,0.62536204,22.558594,1.4364352226257324,2023-12-08 20:25:46.339261,694.0357,34.277344
42,411,382.6455,0.62536204,22.753906,1.3786828517913818,2023-12-08 20:25:48.440497,698.209,34.472656
43,421,384.64087,0.62536204,22.851562,1.476027250289917,2023-12-08 20:25:50.613496,705.71875,34.86328
44,431,386.36325,0.62536204,22.949219,1.4371862411499023,2023-12-08 20:25:52.708174,708.5217,34.960938
45,441,387.9653,0.62536204,23.046875,1.437607765197754,2023-12-08 20:25:54.765276,714.335,35.253906
46,451,391.49753,0.62536204,23.242188,1.3915956020355225,2023-12-08 20:25:56.804268,714.87146,35.253906
47,461,398.08173,0.62536204,23.632812,1.4394023418426514,2023-12-08 20:25:58.871500,719.4818,35.44922
48,471,398.09335,0.62536204,23.632812,1.427091121673584,2023-12-08 20:26:00.912303,724.54395,35.64453
49,481,400.1317,0.62536204,23.730469,1.3890633583068848,2023-12-08 20:26:02.984548,733.61163,36.132812
50,491,400.18744,0.62536204,23.730469,1.4180550575256348,2023-12-08 20:26:05.186098,740.3388,36.523438
51,501,400.20963,0.62536204,23.730469,1.433000087738037,2023-12-08 20:26:07.327357,746.1859,36.816406
52,511,403.70898,0.62536204,23.925781,1.4271624088287354,2023-12-08 20:26:09.362855,746.9309,36.816406
53,521,403.75256,0.62536204,23.925781,1.471332311630249,2023-12-08 20:26:11.473867,750.2375,37.01172
54,531,405.39172,0.62536204,24.023438,1.4102783203125,2023-12-08 20:26:13.603042,755.532,37.20703
55,541,408.83997,0.62536204,24.21875,1.4478769302368164,2023-12-08 20:26:15.670370,756.3003,37.20703
56,551,413.77298,0.62536204,24.511719,1.467433214187622,2023-12-08 20:26:17.758793,758.17664,37.304688
57,561,415.79767,0.62536204,24.609375,1.4571473598480225,2023-12-08 20:26:19.915697,761.9254,37.402344
58,571,417.46655,0.62536204,24.707031,1.4122352600097656,2023-12-08 20:26:21.944724,765.7548,37.597656
59,581,417.46878,0.62536204,24.707031,1.4039828777313232,2023-12-08 20:26:23.969548,766.1537,37.597656
60,591,419.2498,0.62536204,24.804688,1.3960657119750977,2023-12-08 20:26:25.979389,768.4781,37.695312
61,601,422.4342,0.62536204,25.0,1.4648544788360596,2023-12-08 20:26:28.066365,770.01746,37.695312
62,611,422.4638,0.62536204,25.0,1.3921315670013428,2023-12-08 20:26:30.130023,773.0869,37.79297
63,621,424.21313,0.62536204,25.097656,1.4269750118255615,2023-12-08 20:26:32.275279,775.8679,37.890625
64,631,424.22614,0.62536204,25.097656,1.3923461437225342,2023-12-08 20:26:34.315984,776.6928,37.890625
65,641,425.86853,0.62536204,25.195312,1.4564261436462402,2023-12-08 20:26:36.450139,780.6284,38.085938
66,651,427.96365,0.62536204,25.292969,1.4569051265716553,2023-12-08 20:26:38.561241,784.78015,38.28125
67,661,429.37683,0.62536204,25.390625,1.3776016235351562,2023-12-08 20:26:40.595658,790.735,38.57422
68,671,429.38904,0.62536204,25.390625,1.4430243968963623,2023-12-08 20:26:42.722136,793.2423,38.671875
69,681,432.80396,0.62536204,25.585938,1.4419827461242676,2023-12-08 20:26:44.778479,793.7856,38.671875
70,691,432.81357,0.62536204,25.585938,1.427682638168335,2023-12-08 20:26:46.863182,796.4782,38.76953
