loop,iteration,qd_score,max_fitness,coverage,time,current_time
1,1,16212.484,-74.01842,18.75,9.595634460449219,2023-12-14 19:48:06.028521
2,11,24235.004,-71.61192,28.515625,0.19511198997497559,2023-12-14 19:48:24.137630
3,21,29268.44,-71.41073,33.496094,0.20412302017211914,2023-12-14 19:48:24.708897
4,31,33358.74,-71.00806,36.71875,0.19131827354431152,2023-12-14 19:48:25.373032
5,41,35206.14,-71.00806,37.98828,0.19783306121826172,2023-12-14 19:48:25.953342
6,51,37311.15,-71.00806,38.964844,0.18196964263916016,2023-12-14 19:48:26.593217
7,61,39171.766,-71.00806,39.941406,0.16835260391235352,2023-12-14 19:48:27.271501
8,71,40200.406,-70.71539,40.33203,0.18583226203918457,2023-12-14 19:48:27.860943
9,81,41151.938,-70.71539,40.820312,0.20609784126281738,2023-12-14 19:48:28.481976
10,91,41855.34,-70.65524,41.015625,0.18349599838256836,2023-12-14 19:48:29.119062
11,101,42298.17,-70.65524,41.11328,0.17291641235351562,2023-12-14 19:48:29.667897
12,111,42900.973,-70.47556,41.40625,0.17258167266845703,2023-12-14 19:48:30.242587
13,121,43402.99,-70.26007,41.601562,0.17039918899536133,2023-12-14 19:48:30.846546
14,131,44065.58,-70.26007,41.992188,0.18392682075500488,2023-12-14 19:48:31.414305
15,141,44328.227,-70.26007,42.089844,0.18084955215454102,2023-12-14 19:48:31.972113
16,151,44924.684,-69.95213,42.382812,0.18291378021240234,2023-12-14 19:48:32.556362
17,161,45267.98,-69.51056,42.48047,0.18830657005310059,2023-12-14 19:48:33.162791
18,171,45464.402,-69.12354,42.48047,0.1596992015838623,2023-12-14 19:48:33.725733
19,181,45749.19,-69.12354,42.578125,0.1832273006439209,2023-12-14 19:48:34.333780
20,191,46059.86,-69.12354,42.67578,0.19635295867919922,2023-12-14 19:48:34.929383
21,201,46437.87,-69.112724,42.871094,0.22469592094421387,2023-12-14 19:48:35.567832
22,211,46692.15,-68.84074,42.96875,0.1585242748260498,2023-12-14 19:48:36.130527
23,221,47074.605,-68.61462,43.164062,0.2080991268157959,2023-12-14 19:48:36.787147
24,231,47704.816,-68.60025,43.554688,0.1781165599822998,2023-12-14 19:48:37.359338
25,241,48721.484,-67.63385,44.23828,0.19464659690856934,2023-12-14 19:48:37.990454
26,251,49589.703,-67.45912,44.82422,0.20050907135009766,2023-12-14 19:48:38.635229
27,261,50467.65,-67.40306,45.410156,0.18584752082824707,2023-12-14 19:48:39.259065
28,271,50975.15,-67.20248,45.703125,0.18973135948181152,2023-12-14 19:48:39.826176
29,281,51751.098,-67.04039,46.191406,0.1997389793395996,2023-12-14 19:48:40.478740
30,291,51831.04,-66.71275,46.191406,0.16902828216552734,2023-12-14 19:48:41.060034
31,301,52188.08,-66.71275,46.38672,0.20760393142700195,2023-12-14 19:48:41.654679
32,311,52518.35,-66.671394,46.58203,0.18769454956054688,2023-12-14 19:48:42.222652
33,321,52833.926,-66.671394,46.777344,0.19960308074951172,2023-12-14 19:48:42.795014
34,331,53550.887,-66.64266,47.265625,0.19980812072753906,2023-12-14 19:48:43.378577
35,341,53617.312,-66.52859,47.265625,0.15776634216308594,2023-12-14 19:48:43.920899
36,351,53946.47,-66.23062,47.460938,0.16437745094299316,2023-12-14 19:48:44.487136
37,361,54490.426,-66.23062,47.851562,0.17698383331298828,2023-12-14 19:48:45.117323
38,371,54561.332,-66.20236,47.851562,0.17909550666809082,2023-12-14 19:48:45.798198
39,381,54882.92,-66.20236,48.046875,0.172637939453125,2023-12-14 19:48:46.342867
40,391,55105.062,-66.20236,48.14453,0.20856523513793945,2023-12-14 19:48:46.988431
41,401,55684.625,-66.20236,48.535156,0.1940019130706787,2023-12-14 19:48:47.592500
42,411,55869.965,-66.072556,48.632812,0.19069218635559082,2023-12-14 19:48:48.184364
43,421,56473.746,-66.072556,49.023438,0.19336819648742676,2023-12-14 19:48:48.775896
44,431,56937.457,-66.072556,49.316406,0.16676044464111328,2023-12-14 19:48:49.387635
45,441,57507.9,-66.072556,49.70703,0.14962387084960938,2023-12-14 19:48:49.925923
46,451,57552.984,-66.072556,49.70703,0.1886451244354248,2023-12-14 19:48:50.520780
47,461,58141.234,-66.072556,50.097656,0.17621445655822754,2023-12-14 19:48:51.100406
48,471,58616.05,-66.072556,50.390625,0.19003987312316895,2023-12-14 19:48:51.705766
49,481,59348.438,-66.072556,50.878906,0.19671392440795898,2023-12-14 19:48:52.324059
50,491,61048.254,-66.065186,52.05078,0.1895895004272461,2023-12-14 19:48:52.994087
51,501,62675.67,-66.065186,53.125,0.18906188011169434,2023-12-14 19:48:53.574808
52,511,65102.676,-66.03327,54.785156,0.18698930740356445,2023-12-14 19:48:54.160992
53,521,68385.07,-66.02234,57.03125,0.1958293914794922,2023-12-14 19:48:54.854697
54,531,71442.61,-66.02234,59.08203,0.2131328582763672,2023-12-14 19:48:55.430711
55,541,75024.664,-66.02234,61.621094,0.19615507125854492,2023-12-14 19:48:55.993569
56,551,77849.77,-66.02234,63.57422,0.19123101234436035,2023-12-14 19:48:56.562932
57,561,81409.445,-66.02234,66.11328,0.1898505687713623,2023-12-14 19:48:57.216543
58,571,83746.516,-66.02234,67.578125,0.2060248851776123,2023-12-14 19:48:57.812298
59,581,85025.21,-66.02234,68.359375,0.1933290958404541,2023-12-14 19:48:58.375857
60,591,85299.45,-66.02234,68.359375,0.19016790390014648,2023-12-14 19:48:58.944758
61,601,86135.91,-66.02234,68.75,0.1819319725036621,2023-12-14 19:48:59.659401
62,611,86462.414,-66.02234,68.84766,0.19113564491271973,2023-12-14 19:49:00.236875
63,621,87064.65,-66.02234,69.04297,0.18906188011169434,2023-12-14 19:49:00.828445
64,631,87492.734,-66.02234,69.140625,0.19613289833068848,2023-12-14 19:49:01.426666
65,641,87757.39,-66.02234,69.140625,0.19941067695617676,2023-12-14 19:49:02.025846
66,651,87976.49,-66.02234,69.140625,0.18752598762512207,2023-12-14 19:49:02.691199
67,661,88238.03,-66.02234,69.140625,0.21243524551391602,2023-12-14 19:49:03.319109
68,671,88489.54,-66.02234,69.140625,0.20105981826782227,2023-12-14 19:49:03.962587
69,681,88785.086,-66.02234,69.140625,0.20937681198120117,2023-12-14 19:49:04.566039
70,691,89163.15,-66.02234,69.140625,0.21257829666137695,2023-12-14 19:49:05.134756
71,701,89476.74,-66.02234,69.140625,0.18330621719360352,2023-12-14 19:49:05.826079
72,711,89787.79,-66.02234,69.140625,0.19163990020751953,2023-12-14 19:49:06.390321
73,721,90058.82,-66.02234,69.140625,0.18796563148498535,2023-12-14 19:49:06.997269
74,731,90371.27,-66.02234,69.23828,0.18481040000915527,2023-12-14 19:49:07.711187
75,741,90745.8,-66.02234,69.33594,0.17001700401306152,2023-12-14 19:49:08.258674
76,751,91116.9,-66.02234,69.53125,0.2082204818725586,2023-12-14 19:49:08.891332
77,761,91527.5,-66.02234,69.72656,0.16332125663757324,2023-12-14 19:49:09.430405
78,771,91620.836,-66.02234,69.72656,0.18388700485229492,2023-12-14 19:49:10.036587
79,781,92037.0,-66.02234,69.921875,0.20300817489624023,2023-12-14 19:49:10.690441
80,791,92679.445,-66.02234,70.3125,0.1842052936553955,2023-12-14 19:49:11.289866
81,801,93093.15,-66.02234,70.50781,0.17869043350219727,2023-12-14 19:49:11.868570
82,811,93869.13,-66.02234,70.99609,0.17261767387390137,2023-12-14 19:49:12.436511
83,821,94757.82,-66.02234,71.58203,0.17330622673034668,2023-12-14 19:49:13.031186
84,831,95127.695,-66.02234,71.77734,0.17297863960266113,2023-12-14 19:49:13.616918
85,841,95748.98,-66.02234,72.16797,0.1913595199584961,2023-12-14 19:49:14.196573
86,851,96206.766,-66.02234,72.46094,0.19732284545898438,2023-12-14 19:49:14.825249
87,861,96566.28,-66.02234,72.65625,0.1961071491241455,2023-12-14 19:49:15.417369
88,871,97053.22,-66.02234,72.94922,0.18122339248657227,2023-12-14 19:49:15.996444
89,881,97403.31,-66.02234,73.14453,0.1949458122253418,2023-12-14 19:49:16.572561
90,891,97736.195,-66.02234,73.33984,0.19467496871948242,2023-12-14 19:49:17.173614
91,901,97941.5,-66.02234,73.4375,0.19709038734436035,2023-12-14 19:49:17.752951
92,911,98015.62,-66.02234,73.4375,0.16777944564819336,2023-12-14 19:49:18.318783
93,921,98235.59,-66.02234,73.53516,0.17918777465820312,2023-12-14 19:49:18.891268
94,931,98482.86,-66.02234,73.63281,0.19250750541687012,2023-12-14 19:49:19.507878
95,941,98702.984,-66.02234,73.73047,0.15497946739196777,2023-12-14 19:49:20.085553
96,951,98907.875,-66.02234,73.828125,0.1756739616394043,2023-12-14 19:49:20.674017
97,961,99127.8,-66.02234,73.92578,0.1811070442199707,2023-12-14 19:49:21.221566
98,971,99455.836,-66.01621,74.12109,0.19556832313537598,2023-12-14 19:49:21.797832
99,981,99775.016,-66.01621,74.31641,0.1975727081298828,2023-12-14 19:49:22.368879
100,991,99970.984,-66.01621,74.41406,0.15924382209777832,2023-12-14 19:49:23.026693
101,1001,100048.266,-66.01621,74.41406,0.16765904426574707,2023-12-14 19:49:23.582232
102,1011,100143.94,-66.01621,74.41406,0.1810610294342041,2023-12-14 19:49:24.226545
103,1021,100496.99,-66.01621,74.609375,0.1511247158050537,2023-12-14 19:49:24.820466
104,1031,100701.37,-66.01621,74.70703,0.16421127319335938,2023-12-14 19:49:25.381666
105,1041,101078.34,-66.01621,74.90234,0.15818142890930176,2023-12-14 19:49:25.936188
106,1051,101291.33,-66.01621,75.0,0.18289828300476074,2023-12-14 19:49:26.561574
107,1061,101493.72,-66.01572,75.09766,0.2102067470550537,2023-12-14 19:49:27.235756
108,1071,101818.44,-66.01572,75.29297,0.17374920845031738,2023-12-14 19:49:27.767176
109,1081,102021.09,-66.015594,75.390625,0.18521404266357422,2023-12-14 19:49:28.327671
110,1091,102510.37,-66.015594,75.68359,0.17197799682617188,2023-12-14 19:49:28.884921
111,1101,102952.92,-66.015594,75.97656,0.20401573181152344,2023-12-14 19:49:29.493123
112,1111,102985.78,-66.015594,75.97656,0.18031907081604004,2023-12-14 19:49:30.120834
113,1121,103170.34,-66.015594,76.07422,0.176222562789917,2023-12-14 19:49:30.672236
