loop,iteration,qd_score,max_fitness,coverage,time,current_time,coverage1,coverage2
1,1,4832.919,-68.21037,5.859375,4.669312238693237,2023-12-14 18:26:50.534663,4.6875,4.1992188
2,11,8134.413,-68.21037,8.496094,0.24361729621887207,2023-12-14 18:26:51.086655,6.9335938,5.6640625
3,21,9683.518,-68.14446,10.15625,0.2281053066253662,2023-12-14 18:26:51.622083,7.7148438,5.9570312
4,31,11213.321,-68.14446,11.230469,0.22617292404174805,2023-12-14 18:26:52.154717,8.59375,6.25
5,41,12477.589,-68.14446,12.011719,0.228379487991333,2023-12-14 18:26:52.688249,9.472656,6.640625
6,51,13473.596,-67.65619,12.890625,0.22750401496887207,2023-12-14 18:26:53.221193,10.449219,6.9335938
7,61,14380.606,-67.65619,13.671875,0.2271108627319336,2023-12-14 18:26:53.789380,10.839844,7.5195312
8,71,15338.778,-67.65619,14.355469,0.22975444793701172,2023-12-14 18:26:54.325599,11.230469,7.8125
9,81,16246.244,-67.65619,14.941406,0.22880101203918457,2023-12-14 18:26:54.861824,11.816406,7.421875
10,91,17183.504,-67.09348,15.722656,0.23012256622314453,2023-12-14 18:26:55.401890,12.207031,8.300781
11,101,17906.312,-67.09348,16.308594,0.2302405834197998,2023-12-14 18:26:55.941865,12.6953125,8.496094
12,111,18378.5,-67.09348,16.601562,0.2308030128479004,2023-12-14 18:26:56.480410,12.988281,8.203125
13,121,19219.297,-67.09348,17.1875,0.22905993461608887,2023-12-14 18:26:57.019528,13.28125,8.59375
14,131,19711.758,-67.09348,17.675781,0.22915172576904297,2023-12-14 18:26:57.557331,13.671875,9.082031
15,141,20056.846,-67.09348,17.96875,0.22806882858276367,2023-12-14 18:26:58.095868,13.8671875,8.984375
16,151,20430.732,-67.09348,18.261719,0.22758722305297852,2023-12-14 18:26:58.628844,13.8671875,9.5703125
17,161,20801.365,-67.09348,18.554688,0.22944974899291992,2023-12-14 18:26:59.171054,14.160156,9.765625
18,171,21680.254,-67.09348,19.238281,0.27356767654418945,2023-12-14 18:26:59.752715,14.746094,9.863281
19,181,22232.371,-67.09348,19.726562,0.22944021224975586,2023-12-14 18:27:00.293114,15.0390625,10.058594
20,191,22363.275,-67.09348,19.824219,0.2307262420654297,2023-12-14 18:27:00.832697,15.0390625,10.058594
21,201,22652.51,-67.09348,20.019531,0.22942376136779785,2023-12-14 18:27:01.373418,15.4296875,10.3515625
22,211,23016.164,-67.09348,20.3125,0.22876596450805664,2023-12-14 18:27:01.909999,15.625,10.449219
23,221,23364.125,-67.09348,20.605469,0.2297658920288086,2023-12-14 18:27:02.452388,15.722656,10.253906
24,231,23638.197,-67.09348,20.800781,0.22910094261169434,2023-12-14 18:27:02.985769,15.917969,10.253906
25,241,23679.834,-67.03793,20.800781,0.22914767265319824,2023-12-14 18:27:03.524842,16.015625,10.449219
26,251,24212.92,-67.03784,21.191406,0.22954654693603516,2023-12-14 18:27:04.062293,16.113281,10.449219
27,261,24431.396,-67.03784,21.289062,0.2290329933166504,2023-12-14 18:27:04.601444,16.503906,10.3515625
28,271,24704.383,-67.03784,21.484375,0.24254512786865234,2023-12-14 18:27:05.150532,16.503906,10.449219
29,281,24727.582,-67.03784,21.484375,0.23170757293701172,2023-12-14 18:27:05.689560,16.699219,10.3515625
30,291,24887.34,-67.03784,21.582031,0.2313065528869629,2023-12-14 18:27:06.227588,16.699219,10.3515625
31,301,25107.258,-67.03784,21.777344,0.23015761375427246,2023-12-14 18:27:06.776275,16.894531,10.546875
32,311,25293.553,-67.03784,21.875,0.2308199405670166,2023-12-14 18:27:07.306929,17.1875,10.449219
33,321,25843.402,-65.66979,22.265625,0.23064589500427246,2023-12-14 18:27:07.844364,17.285156,10.644531
34,331,26431.986,-65.66979,22.65625,0.2298126220703125,2023-12-14 18:27:08.399804,17.578125,10.839844
35,341,26501.223,-65.66979,22.65625,0.29680562019348145,2023-12-14 18:27:09.002438,17.578125,10.644531
36,351,27138.805,-65.66979,23.046875,0.23122048377990723,2023-12-14 18:27:09.555036,18.164062,10.546875
37,361,27622.975,-65.66979,23.339844,0.23682308197021484,2023-12-14 18:27:10.099689,18.359375,10.644531
38,371,27871.873,-65.66979,23.535156,0.2319791316986084,2023-12-14 18:27:10.639839,18.457031,10.839844
39,381,27926.268,-65.66979,23.535156,0.23021674156188965,2023-12-14 18:27:11.180011,18.457031,10.9375
40,391,29009.39,-49.42022,24.21875,0.2310013771057129,2023-12-14 18:27:11.735568,19.042969,11.1328125
41,401,29192.117,-49.42022,24.414062,0.23105144500732422,2023-12-14 18:27:12.274374,19.140625,11.035156
42,411,29371.715,-49.42022,24.511719,0.23123812675476074,2023-12-14 18:27:12.808776,19.042969,11.1328125
43,421,29728.22,-49.42022,24.707031,0.23241877555847168,2023-12-14 18:27:13.347022,19.335938,11.328125
44,431,29745.473,-49.42022,24.707031,0.23152422904968262,2023-12-14 18:27:13.880924,19.140625,11.1328125
45,441,29749.326,-49.42022,24.707031,0.24502158164978027,2023-12-14 18:27:14.433671,19.140625,11.328125
46,451,30221.953,-49.42022,25.0,0.2683427333831787,2023-12-14 18:27:15.008835,19.335938,11.5234375
47,461,30239.64,-49.42022,25.0,0.2513241767883301,2023-12-14 18:27:15.579390,19.335938,11.5234375
48,471,30266.77,-49.42022,25.0,0.23189115524291992,2023-12-14 18:27:16.121308,19.335938,11.816406
49,481,30432.662,-49.42022,25.097656,0.2429957389831543,2023-12-14 18:27:16.669221,19.433594,11.71875
50,491,30751.307,-49.42022,25.390625,0.23229193687438965,2023-12-14 18:27:17.204306,19.53125,12.011719
51,501,30934.402,-43.269333,25.488281,0.23178315162658691,2023-12-14 18:27:17.741457,19.628906,12.011719
52,511,31123.889,-43.269333,25.585938,0.23045611381530762,2023-12-14 18:27:18.276615,19.628906,12.011719
53,521,31202.264,-43.269333,25.585938,0.2411787509918213,2023-12-14 18:27:18.823868,19.433594,11.9140625
54,531,31374.418,-43.269333,25.78125,0.23133182525634766,2023-12-14 18:27:19.359261,19.433594,12.207031
55,541,31438.031,-43.269333,25.78125,0.2768869400024414,2023-12-14 18:27:19.965706,19.433594,12.207031
56,551,31536.09,-43.269333,25.878906,0.23208093643188477,2023-12-14 18:27:20.500363,19.433594,12.3046875
57,561,31906.672,-43.269333,26.074219,0.2321760654449463,2023-12-14 18:27:21.036189,19.628906,12.207031
58,571,32159.45,-43.269333,26.269531,0.231414794921875,2023-12-14 18:27:21.569068,19.53125,12.207031
59,581,32453.574,-43.269333,26.5625,0.261272668838501,2023-12-14 18:27:22.134494,19.824219,12.3046875
60,591,32709.963,-43.269333,26.757812,0.22986364364624023,2023-12-14 18:27:22.679478,20.019531,12.3046875
61,601,32759.29,-43.269333,26.757812,0.2445979118347168,2023-12-14 18:27:23.230195,19.824219,12.207031
62,611,33012.594,-37.711285,26.953125,0.2456514835357666,2023-12-14 18:27:23.780490,19.921875,12.207031
63,621,33173.754,-37.711285,27.050781,0.22994399070739746,2023-12-14 18:27:24.319318,19.824219,12.402344
64,631,33431.22,-37.711285,27.246094,0.23240971565246582,2023-12-14 18:27:24.854847,19.921875,12.5
65,641,33508.348,-37.711285,27.34375,0.244035005569458,2023-12-14 18:27:25.404315,20.117188,12.5
66,651,33566.797,-37.711285,27.441406,0.23144078254699707,2023-12-14 18:27:25.940389,20.214844,12.5
