loop,iteration,qd_score,max_fitness,coverage,time,current_time,coverage1,coverage2
84,831,36495.875,-44.722855,29.882812,0.23176145553588867,2023-12-14 19:25:08.993717,21.972656,13.964844
85,841,36502.65,-44.722855,29.882812,0.24050474166870117,2023-12-14 19:25:09.544581,21.875,13.8671875
86,851,36716.46,-44.722855,29.980469,0.2510848045349121,2023-12-14 19:25:10.101997,21.777344,13.8671875
87,861,36789.01,-44.722855,30.078125,0.23090887069702148,2023-12-14 19:25:10.646205,21.777344,13.8671875
88,871,36808.17,-44.722855,30.078125,0.23199105262756348,2023-12-14 19:25:11.185761,21.875,13.964844
89,881,37021.79,-44.722855,30.273438,0.23287177085876465,2023-12-14 19:25:11.731275,21.972656,13.964844
90,891,37125.12,-44.722855,30.371094,0.22992920875549316,2023-12-14 19:25:12.272378,22.167969,14.0625
91,901,37165.48,-44.722855,30.371094,0.2300584316253662,2023-12-14 19:25:12.812746,22.460938,13.964844
92,911,37482.566,-44.722855,30.566406,0.31301307678222656,2023-12-14 19:25:13.435115,22.753906,13.964844
93,921,37626.84,-44.722855,30.664062,0.24439072608947754,2023-12-14 19:25:13.998168,22.949219,14.0625
94,931,37782.906,-44.722855,30.761719,0.25029492378234863,2023-12-14 19:25:14.558644,23.046875,14.0625
95,941,37808.79,-44.722855,30.761719,0.24715828895568848,2023-12-14 19:25:15.118420,23.046875,13.964844
96,951,37819.664,-44.722855,30.761719,0.2318260669708252,2023-12-14 19:25:15.662290,23.242188,14.0625
97,961,37985.414,-44.722855,30.859375,0.23844528198242188,2023-12-14 19:25:16.228584,23.4375,14.160156
98,971,38202.82,-44.722855,30.957031,0.23116159439086914,2023-12-14 19:25:16.818007,23.339844,14.0625
99,981,38206.14,-44.722855,30.957031,0.2451615333557129,2023-12-14 19:25:17.375727,23.339844,14.0625
100,991,38358.266,-44.722855,31.054688,0.23146700859069824,2023-12-14 19:25:17.911505,23.339844,14.0625
101,1001,38396.715,-44.722855,31.054688,0.23144173622131348,2023-12-14 19:25:18.450361,23.4375,14.160156
102,1011,38447.805,-44.722855,31.152344,0.23045825958251953,2023-12-14 19:25:18.986443,23.632812,14.160156
103,1021,38497.31,-44.722855,31.152344,0.23033928871154785,2023-12-14 19:25:19.527923,23.730469,14.746094
104,1031,38635.86,-44.722855,31.25,0.25267553329467773,2023-12-14 19:25:20.087917,23.632812,14.84375
105,1041,38688.3,-44.722855,31.25,0.24588918685913086,2023-12-14 19:25:20.665443,23.4375,14.746094
106,1051,38852.54,-44.722855,31.347656,0.23401594161987305,2023-12-14 19:25:21.211233,23.4375,14.6484375
107,1061,39035.2,-44.722855,31.445312,0.23378872871398926,2023-12-14 19:25:21.754619,23.535156,14.746094
108,1071,39085.094,-44.722855,31.445312,0.2331080436706543,2023-12-14 19:25:22.297026,23.4375,14.550781
109,1081,39109.242,-44.722855,31.445312,0.24903321266174316,2023-12-14 19:25:22.877420,23.632812,14.6484375
110,1091,39267.465,-44.722855,31.542969,0.2319478988647461,2023-12-14 19:25:23.467671,23.730469,14.746094
111,1101,39284.855,-44.722855,31.542969,0.23287177085876465,2023-12-14 19:25:24.010967,23.535156,14.84375
112,1111,39304.38,-44.722855,31.542969,0.2441234588623047,2023-12-14 19:25:24.562142,23.339844,14.746094
113,1121,39311.883,-44.722855,31.542969,0.23267388343811035,2023-12-14 19:25:25.101257,23.4375,14.6484375
114,1131,39451.43,-44.722855,31.738281,0.28115344047546387,2023-12-14 19:25:25.691001,23.632812,14.941406
115,1141,39462.344,-44.722855,31.738281,0.23431611061096191,2023-12-14 19:25:26.234295,23.632812,14.84375
116,1151,39635.844,-44.722855,31.835938,0.232835054397583,2023-12-14 19:25:26.773901,23.828125,14.746094
117,1161,39761.176,-44.722855,31.933594,0.2458488941192627,2023-12-14 19:25:27.327227,23.730469,14.746094
118,1171,39831.715,-44.722855,31.933594,0.2342686653137207,2023-12-14 19:25:27.867678,23.730469,15.0390625
119,1181,40043.715,-44.722855,32.03125,0.23183560371398926,2023-12-14 19:25:28.406657,23.925781,15.0390625
