loop,iteration,max_fitness,time,current_time
1,1,1119.3368,44.009294509887695,2023-12-12 07:30:25.383754
2,11,1121.0393,28.273969650268555,2023-12-12 07:30:53.659463
3,21,1121.0393,28.35109305381775,2023-12-12 07:31:22.012475
4,31,1125.0807,28.501503229141235,2023-12-12 07:31:50.515941
5,41,1125.0807,27.780086517333984,2023-12-12 07:32:18.297855
6,51,1125.0807,27.993201732635498,2023-12-12 07:32:46.292911
7,61,1133.8466,27.9576313495636,2023-12-12 07:33:14.252453
8,71,1139.5793,27.668383359909058,2023-12-12 07:33:41.922765
9,81,1139.5793,27.482049226760864,2023-12-12 07:34:09.406681
10,91,1139.5793,27.619927167892456,2023-12-12 07:34:37.028483
11,101,1139.5793,27.93106245994568,2023-12-12 07:35:04.961422
12,111,1139.5793,27.392865896224976,2023-12-12 07:35:32.356193
13,121,1139.5793,27.643277883529663,2023-12-12 07:36:00.001309
14,131,1139.5793,27.573136568069458,2023-12-12 07:36:27.576282
15,141,1139.5793,27.498138427734375,2023-12-12 07:36:55.076244
16,151,1139.5793,27.64229917526245,2023-12-12 07:37:22.720382
17,161,1139.5793,28.01937484741211,2023-12-12 07:37:50.741580
18,171,1139.5793,27.865260124206543,2023-12-12 07:38:18.608631
19,181,1139.5793,27.6676127910614,2023-12-12 07:38:46.278083
20,191,1139.5793,27.917359352111816,2023-12-12 07:39:14.197390
21,201,1139.5793,27.640013933181763,2023-12-12 07:39:41.839241
22,211,1139.5793,28.03760313987732,2023-12-12 07:40:09.878707
23,221,1139.5793,27.45242428779602,2023-12-12 07:40:37.332991
24,231,1139.5793,27.425825119018555,2023-12-12 07:41:04.760961
25,241,1139.5793,27.467653036117554,2023-12-12 07:41:32.230489
26,251,1139.5793,28.19761037826538,2023-12-12 07:42:00.429995
27,261,1139.5793,27.94587802886963,2023-12-12 07:42:28.378330
28,271,1139.5793,27.75184440612793,2023-12-12 07:42:56.132006
29,281,1139.5793,27.805949211120605,2023-12-12 07:43:23.939831
30,291,1139.5793,27.1491596698761,2023-12-12 07:43:51.090865
31,301,1139.5793,27.543910026550293,2023-12-12 07:44:18.636619
32,311,1139.5793,27.693450212478638,2023-12-12 07:44:46.331943
33,321,1139.5793,27.633713722229004,2023-12-12 07:45:13.967535
34,331,1139.5793,27.31592845916748,2023-12-12 07:45:41.285324
35,341,1139.5793,28.084627628326416,2023-12-12 07:46:09.371787
36,351,1139.5793,27.93656301498413,2023-12-12 07:46:37.310198
37,361,1139.5793,27.818580627441406,2023-12-12 07:47:05.130654
38,371,1139.5793,27.73162007331848,2023-12-12 07:47:32.864133
39,381,1139.5793,27.414836168289185,2023-12-12 07:48:00.280850
40,391,1139.5793,28.02432346343994,2023-12-12 07:48:28.307101
41,401,1139.5793,27.573164701461792,2023-12-12 07:48:55.882125
42,411,1139.5793,27.76625895500183,2023-12-12 07:49:23.650975
43,421,1139.5793,27.432082653045654,2023-12-12 07:49:51.084931
44,431,1139.5793,27.932427406311035,2023-12-12 07:50:19.019207
45,441,1139.5793,27.729885578155518,2023-12-12 07:50:46.751576
46,451,1139.5793,27.49501633644104,2023-12-12 07:51:14.248476
47,461,1139.5793,27.62899875640869,2023-12-12 07:51:41.879341
48,471,1139.5793,27.897987127304077,2023-12-12 07:52:09.779217
49,481,1139.5793,27.755271673202515,2023-12-12 07:52:37.536678
50,491,1139.5793,27.908517122268677,2023-12-12 07:53:05.447133
51,501,1139.5793,27.830304861068726,2023-12-12 07:53:33.279280
52,511,1139.5793,27.398041486740112,2023-12-12 07:54:00.679186
53,521,1139.5793,27.52516794204712,2023-12-12 07:54:28.206201
54,531,1139.5793,27.401761293411255,2023-12-12 07:54:55.609750
55,541,1139.5793,27.957812547683716,2023-12-12 07:55:23.569462
56,551,1139.5793,28.3578200340271,2023-12-12 07:55:51.929762
57,561,1139.5793,27.53825545310974,2023-12-12 07:56:19.469889
58,571,1139.5793,27.62806010246277,2023-12-12 07:56:47.099839
59,581,1139.5793,27.45840835571289,2023-12-12 07:57:14.560105
60,591,1139.5793,27.504887342453003,2023-12-12 07:57:42.066809
61,601,1139.5793,27.711185216903687,2023-12-12 07:58:09.779845
62,611,1139.5793,27.29837989807129,2023-12-12 07:58:37.080089
63,621,1139.5793,27.584596872329712,2023-12-12 07:59:04.666561
64,631,1139.5793,27.326725959777832,2023-12-12 07:59:31.995755
65,641,1139.5793,27.730566263198853,2023-12-12 07:59:59.728192
66,651,1139.5793,27.511181116104126,2023-12-12 08:00:27.241195
67,661,1139.5793,27.234318017959595,2023-12-12 08:00:54.477327
68,671,1139.5793,27.756481170654297,2023-12-12 08:01:22.235654
69,681,1139.5793,27.792011976242065,2023-12-12 08:01:50.029531
70,691,1139.5793,27.71206021308899,2023-12-12 08:02:17.743467
71,701,1139.5793,27.572092056274414,2023-12-12 08:02:45.317463
72,711,1139.5793,27.61513090133667,2023-12-12 08:03:12.934463
73,721,1139.5793,27.8533616065979,2023-12-12 08:03:40.789694
74,731,1139.5793,27.688473224639893,2023-12-12 08:04:08.480047
75,741,1139.5793,28.056746006011963,2023-12-12 08:04:36.538641
76,751,1139.5793,27.909700870513916,2023-12-12 08:05:04.450204
77,761,1139.5793,27.80287480354309,2023-12-12 08:05:32.254929
78,771,1139.5793,27.736924171447754,2023-12-12 08:05:59.994110
79,781,1139.5793,27.714008808135986,2023-12-12 08:06:27.709974
80,791,1139.5793,27.81584405899048,2023-12-12 08:06:55.527627
81,801,1139.5793,28.033345222473145,2023-12-12 08:07:23.562810
82,811,1139.5793,27.547829389572144,2023-12-12 08:07:51.112510
83,821,1139.5793,27.69200611114502,2023-12-12 08:08:18.806892
84,831,1139.5793,27.533092498779297,2023-12-12 08:08:46.341855
85,841,1141.0735,27.285494565963745,2023-12-12 08:09:13.629215
86,851,1141.0735,27.427769899368286,2023-12-12 08:09:41.059497
87,861,1141.0735,27.59316325187683,2023-12-12 08:10:08.654522
88,871,1141.0735,27.899879932403564,2023-12-12 08:10:36.556177
89,881,1141.0735,27.70662832260132,2023-12-12 08:11:04.264743
90,891,1141.0735,27.516587495803833,2023-12-12 08:11:31.783229
91,901,1141.0735,27.956687927246094,2023-12-12 08:11:59.741807
92,911,1141.0735,27.886897802352905,2023-12-12 08:12:27.630538
93,921,1141.0735,27.589779376983643,2023-12-12 08:12:55.222200
94,931,1141.0735,27.64952301979065,2023-12-12 08:13:22.873613
95,941,1141.0735,27.577480792999268,2023-12-12 08:13:50.452960
96,951,1141.0735,27.844000101089478,2023-12-12 08:14:18.298794
97,961,1141.0735,27.87589192390442,2023-12-12 08:14:46.176513
98,971,1141.0735,27.82415533065796,2023-12-12 08:15:14.002494
99,981,1141.0735,28.100304126739502,2023-12-12 08:15:42.104661
100,991,1141.0735,27.721473455429077,2023-12-12 08:16:09.827993
101,1001,1141.0735,28.01754140853882,2023-12-12 08:16:37.847349
102,1011,1141.0735,27.44015407562256,2023-12-12 08:17:05.289322
103,1021,1141.0735,27.395643949508667,2023-12-12 08:17:32.686766
104,1031,1141.0735,27.628549337387085,2023-12-12 08:18:00.317114
105,1041,1141.0735,28.009792804718018,2023-12-12 08:18:28.328756
106,1051,1141.0735,27.974629878997803,2023-12-12 08:18:56.305196
107,1061,1141.0735,27.488682746887207,2023-12-12 08:19:23.795782
108,1071,1141.0735,28.159019470214844,2023-12-12 08:19:51.956659
109,1081,1141.0735,27.934276342391968,2023-12-12 08:20:19.892841
110,1091,1141.0735,27.51968812942505,2023-12-12 08:20:47.414431
111,1101,1141.0735,27.507269859313965,2023-12-12 08:21:14.923554
112,1111,1141.0735,27.767610549926758,2023-12-12 08:21:42.693001
113,1121,1141.0735,28.24490451812744,2023-12-12 08:22:10.939759
114,1131,1141.0735,28.299925565719604,2023-12-12 08:22:39.241539
115,1141,1141.0735,27.577898263931274,2023-12-12 08:23:06.821311
116,1151,1141.0735,27.660732984542847,2023-12-12 08:23:34.483896
117,1161,1141.0735,28.09026002883911,2023-12-12 08:24:02.575973
118,1171,1141.0735,27.60093331336975,2023-12-12 08:24:30.178724
119,1181,1141.0735,27.78165578842163,2023-12-12 08:24:57.962239
120,1191,1141.0735,27.714011907577515,2023-12-12 08:25:25.678129
121,1201,1141.0735,27.98084020614624,2023-12-12 08:25:53.660784
122,1211,1141.0735,27.307352542877197,2023-12-12 08:26:20.969956
123,1221,1141.0735,27.645933628082275,2023-12-12 08:26:48.617745
124,1231,1141.0735,28.089120626449585,2023-12-12 08:27:16.708723
125,1241,1141.0735,27.715009927749634,2023-12-12 08:27:44.425615
126,1251,1141.0735,27.489255905151367,2023-12-12 08:28:11.916645
127,1261,1141.0735,27.480814218521118,2023-12-12 08:28:39.399318
128,1271,1141.0735,27.56943988800049,2023-12-12 08:29:06.970636
129,1281,1141.0735,27.764739990234375,2023-12-12 08:29:34.737237
130,1291,1141.0735,26.776334047317505,2023-12-12 08:30:01.515413
131,1301,1141.0735,27.574219465255737,2023-12-12 08:30:29.091522
132,1311,1141.0735,27.474229097366333,2023-12-12 08:30:56.567627
133,1321,1141.0735,27.333172082901,2023-12-12 08:31:23.902690
134,1331,1141.0735,27.68052625656128,2023-12-12 08:31:51.585118
135,1341,1141.0735,27.669397115707397,2023-12-12 08:32:19.256375
136,1351,1141.0735,27.512126207351685,2023-12-12 08:32:46.770435
137,1361,1141.0735,27.688035249710083,2023-12-12 08:33:14.460348
138,1371,1141.0735,27.621651887893677,2023-12-12 08:33:42.083834
139,1381,1141.0735,27.909250736236572,2023-12-12 08:34:09.994969
140,1391,1141.0735,27.828800916671753,2023-12-12 08:34:37.825618
141,1401,1141.0735,27.72661328315735,2023-12-12 08:35:05.554086
142,1411,1141.0735,27.28270387649536,2023-12-12 08:35:32.838671
143,1421,1141.0735,27.667479991912842,2023-12-12 08:36:00.508017
144,1431,1141.0735,27.801201105117798,2023-12-12 08:36:28.311049
145,1441,1141.0735,27.672815561294556,2023-12-12 08:36:55.985735
146,1451,1141.0735,27.640225887298584,2023-12-12 08:37:23.627799
147,1461,1141.0735,27.595028162002563,2023-12-12 08:37:51.224733
148,1471,1141.0735,27.572001695632935,2023-12-12 08:38:18.798619
149,1481,1141.0735,27.858404874801636,2023-12-12 08:38:46.658933
150,1491,1141.0735,27.415099620819092,2023-12-12 08:39:14.075900
151,1501,1141.0735,27.847326040267944,2023-12-12 08:39:41.925102
152,1511,1141.0735,27.63456153869629,2023-12-12 08:40:09.561531
153,1521,1141.0735,27.921323537826538,2023-12-12 08:40:37.484719
154,1531,1141.0735,27.822822332382202,2023-12-12 08:41:05.309618
155,1541,1141.0735,28.04012107849121,2023-12-12 08:41:33.351617
156,1551,1141.0735,28.0460364818573,2023-12-12 08:42:01.399556
157,1561,1141.0735,27.583488702774048,2023-12-12 08:42:28.984963
158,1571,1141.0735,28.032713174819946,2023-12-12 08:42:57.019565
159,1581,1141.0735,27.66818928718567,2023-12-12 08:43:24.689630
160,1591,1141.0735,27.544790983200073,2023-12-12 08:43:52.236286
161,1601,1141.0735,27.089398860931396,2023-12-12 08:44:19.327570
162,1611,1141.0735,27.643287420272827,2023-12-12 08:44:46.972722
163,1621,1141.0735,27.441669464111328,2023-12-12 08:45:14.416257
164,1631,1141.0735,28.003705501556396,2023-12-12 08:45:42.421782
165,1641,1141.0735,27.86083197593689,2023-12-12 08:46:10.284469
166,1651,1141.0735,27.36887264251709,2023-12-12 08:46:37.655239
167,1661,1141.0735,27.62586259841919,2023-12-12 08:47:05.282944
168,1671,1141.0735,27.692986965179443,2023-12-12 08:47:32.977779
169,1681,1141.0735,27.847450256347656,2023-12-12 08:48:00.827143
170,1691,1141.0735,28.179009199142456,2023-12-12 08:48:29.007987
171,1701,1141.0735,27.798438787460327,2023-12-12 08:48:56.808320
172,1711,1141.0735,27.655789852142334,2023-12-12 08:49:24.465966
173,1721,1141.0735,27.7167546749115,2023-12-12 08:49:52.184593
