loop,iteration,qd_score1,max_fitness,coverage1,time,current_time,qd_score2,coverage2
1,1,366877.2,509.76297,35.742188,45.325066566467285,2023-12-08 21:30:27.040096,86569.76,7.9101562
2,11,523191.94,612.1141,50.48828,18.320314645767212,2023-12-08 21:30:45.942338,106553.78,9.5703125
3,21,639846.4,612.1141,61.132812,18.290501356124878,2023-12-08 21:31:04.817503,122405.51,10.839844
4,31,711221.75,884.3985,67.38281,18.17583131790161,2023-12-08 21:31:23.570883,129388.66,11.328125
5,41,755653.94,941.33875,70.99609,18.269716501235962,2023-12-08 21:31:42.422209,133651.02,11.5234375
6,51,791999.4,992.2359,73.63281,18.26953125,2023-12-08 21:32:01.267028,136964.5,11.621094
7,61,827009.25,1023.30176,76.07422,18.165608644485474,2023-12-08 21:32:20.008480,145506.88,12.011719
8,71,855795.25,1023.30176,78.22266,18.250548839569092,2023-12-08 21:32:38.838817,152048.55,12.5
9,81,876591.0,1023.30176,79.6875,18.341076612472534,2023-12-08 21:32:57.755358,156187.22,12.792969
10,91,895609.4,1023.30176,80.76172,18.276057958602905,2023-12-08 21:33:16.607655,159097.5,12.890625
11,101,914756.0,1023.30176,82.03125,18.3049099445343,2023-12-08 21:33:35.486602,161036.53,12.890625
12,111,928062.2,1023.30176,82.71484,18.203699111938477,2023-12-08 21:33:54.266224,167692.62,13.28125
13,121,941756.2,1023.30176,83.30078,18.11751675605774,2023-12-08 21:34:12.961543,171624.88,13.4765625
14,131,963906.7,1023.30176,84.47266,18.17369294166565,2023-12-08 21:34:31.719413,173511.88,13.574219
15,141,980665.8,1023.30176,85.15625,18.227445602416992,2023-12-08 21:34:50.527347,176010.4,13.574219
16,151,991032.56,1023.30176,85.546875,18.131389141082764,2023-12-08 21:35:09.241119,178746.92,13.574219
17,161,999252.9,1023.30176,85.83984,18.18926215171814,2023-12-08 21:35:28.012860,182963.88,13.769531
18,171,1008978.1,1023.30176,86.23047,18.125779628753662,2023-12-08 21:35:46.717530,185850.02,13.8671875
19,181,1019094.5,1059.3596,86.42578,18.22741723060608,2023-12-08 21:36:05.527460,189250.75,13.964844
20,191,1027697.1,1059.3596,86.71875,18.00242042541504,2023-12-08 21:36:24.113280,190845.58,13.964844
21,201,1037857.25,1059.3596,87.109375,18.191630363464355,2023-12-08 21:36:42.928369,195426.97,14.355469
22,211,1047206.0,1059.3596,87.40234,18.095726251602173,2023-12-08 21:37:01.602409,198616.62,14.453125
23,221,1060280.2,1059.3596,87.59766,18.09917140007019,2023-12-08 21:37:20.277961,202075.23,14.746094
24,231,1068916.1,1059.3596,87.890625,18.159855842590332,2023-12-08 21:37:39.015083,204006.23,14.84375
25,241,1077929.5,1059.3596,88.18359,18.112769842147827,2023-12-08 21:37:57.713685,205194.1,14.84375
26,251,1084785.5,1059.3596,88.37891,18.08990478515625,2023-12-08 21:38:16.386065,209094.0,15.136719
27,261,1091321.0,1059.3596,88.57422,17.93315291404724,2023-12-08 21:38:34.902227,211662.88,15.332031
28,271,1098328.8,1059.3596,88.86719,18.334784030914307,2023-12-08 21:38:53.814476,211862.56,15.332031
29,281,1105638.5,1059.3596,88.96484,18.435731172561646,2023-12-08 21:39:12.830152,213747.23,15.4296875
30,291,1115363.8,1059.3596,89.25781,18.431320667266846,2023-12-08 21:39:31.841188,218936.2,15.722656
31,301,1121262.8,1059.3596,89.35547,18.330361127853394,2023-12-08 21:39:50.753232,222231.1,16.015625
32,311,1128449.1,1059.3596,89.453125,18.348399877548218,2023-12-08 21:40:09.680672,225957.78,16.210938
33,321,1136196.9,1059.3596,89.55078,18.360341548919678,2023-12-08 21:40:28.621434,228355.17,16.308594
34,331,1142692.8,1059.3596,89.64844,18.316311836242676,2023-12-08 21:40:47.515613,228989.19,16.308594
35,341,1147933.1,1059.3596,89.84375,18.244659900665283,2023-12-08 21:41:06.338946,233827.42,16.601562
36,351,1152914.9,1059.3596,89.84375,18.279211282730103,2023-12-08 21:41:25.194344,234243.69,16.601562
