loop,iteration,qd_score,max_fitness,coverage,time,current_time,coverage1,coverage2
1,1,126651.96,363.69324,12.011719,37.80958819389343,2023-12-09 13:31:56.138984,10.3515625,6.8359375
2,11,154817.64,609.8894,14.355469,17.109177350997925,2023-12-09 13:32:13.547048,12.011719,8.203125
3,21,175918.48,609.8894,16.113281,17.28509283065796,2023-12-09 13:32:31.145868,13.574219,9.1796875
4,31,188602.94,609.8894,17.1875,16.837761878967285,2023-12-09 13:32:48.271067,14.6484375,9.9609375
5,41,203557.34,981.5413,18.359375,17.109875440597534,2023-12-09 13:33:05.682599,15.234375,11.328125
6,51,214120.28,981.5413,19.238281,18.181970596313477,2023-12-09 13:33:24.173611,16.015625,11.71875
7,61,226639.48,981.95734,20.3125,17.209624767303467,2023-12-09 13:33:41.686576,16.503906,12.207031
8,71,239269.8,981.95734,21.386719,16.953102827072144,2023-12-09 13:33:58.932376,17.285156,12.3046875
9,81,250746.19,1000.6484,22.265625,16.657368659973145,2023-12-09 13:34:15.884524,17.96875,12.890625
10,91,259253.69,1000.6484,22.851562,16.753228187561035,2023-12-09 13:34:32.927747,18.554688,13.0859375
11,101,267002.1,1008.43604,23.4375,16.563061475753784,2023-12-09 13:34:49.782731,18.847656,13.671875
12,111,273432.38,1008.43604,23.828125,16.057361841201782,2023-12-09 13:35:06.133974,19.042969,14.160156
13,121,280191.38,1008.43604,24.414062,16.240968465805054,2023-12-09 13:35:22.648247,19.433594,14.746094
14,131,282881.72,1026.2839,24.511719,15.800183057785034,2023-12-09 13:35:38.744694,19.433594,14.355469
15,141,288763.62,1026.2839,24.804688,16.021857261657715,2023-12-09 13:35:55.036503,19.335938,14.0625
16,151,295278.22,1026.2847,25.292969,15.87000036239624,2023-12-09 13:36:11.196749,19.140625,14.355469
17,161,303806.94,1026.2847,25.878906,15.378636121749878,2023-12-09 13:36:26.845064,20.214844,15.332031
18,171,312988.62,1026.2847,26.5625,15.302903890609741,2023-12-09 13:36:42.420329,20.507812,15.234375
19,181,319895.75,1039.595,26.953125,15.325763940811157,2023-12-09 13:36:58.016100,20.214844,15.8203125
20,191,325564.7,1039.595,27.34375,15.540564775466919,2023-12-09 13:37:13.825045,20.703125,15.917969
21,201,328693.7,1039.595,27.539062,15.375839948654175,2023-12-09 13:37:29.470252,21.289062,15.8203125
22,211,336683.25,1039.595,28.125,15.415302515029907,2023-12-09 13:37:45.159773,21.386719,15.917969
23,221,341331.6,1039.595,28.417969,15.40288519859314,2023-12-09 13:38:00.836656,22.070312,16.113281
24,231,345169.62,1039.595,28.613281,15.452962398529053,2023-12-09 13:38:16.565693,22.265625,16.308594
25,241,352020.22,1044.3894,28.90625,15.470283508300781,2023-12-09 13:38:32.313857,22.167969,16.699219
26,251,361464.06,1044.3894,29.785156,15.453496217727661,2023-12-09 13:38:48.040905,22.949219,17.285156
27,261,370877.28,1044.3894,30.273438,15.415975093841553,2023-12-09 13:39:03.729664,23.242188,17.675781
28,271,372939.62,1044.3894,30.371094,15.447758197784424,2023-12-09 13:39:19.450810,23.730469,17.089844
29,281,379465.4,1044.3894,30.761719,15.356424331665039,2023-12-09 13:39:35.076120,24.023438,17.578125
30,291,381768.38,1044.3894,30.761719,15.37416958808899,2023-12-09 13:39:50.722092,23.925781,17.480469
31,301,388239.34,1044.3894,31.152344,15.453392267227173,2023-12-09 13:40:06.448418,24.21875,17.871094
32,311,392488.12,1044.3894,31.25,15.411749124526978,2023-12-09 13:40:22.132637,24.21875,17.96875
33,321,400104.0,1180.3303,31.738281,15.466809749603271,2023-12-09 13:40:37.867647,24.511719,18.75
