loop,iteration,qd_score1,max_fitness,coverage1,time,current_time,qd_score2,coverage2
220,2191,1163.9316,0.7288493,71.28906,1.4422249794006348,2023-12-07 20:38:14.597330,294.08557,14.550781
221,2201,1169.2875,0.7288493,71.58203,1.4274957180023193,2023-12-07 20:38:16.648372,294.11273,14.550781
222,2211,1172.6027,0.7288493,71.77734,1.4259872436523438,2023-12-07 20:38:18.684920,294.11273,14.550781
223,2221,1174.2922,0.7288493,71.875,1.4126758575439453,2023-12-07 20:38:20.787489,294.11273,14.550781
224,2231,1174.3188,0.7288493,71.875,1.4411072731018066,2023-12-07 20:38:22.944192,294.11273,14.550781
225,2241,1177.6665,0.7288493,72.07031,1.4129319190979004,2023-12-07 20:38:25.037165,294.11273,14.550781
226,2251,1177.6891,0.7288493,72.07031,1.4601283073425293,2023-12-07 20:38:27.128912,294.11273,14.550781
227,2261,1183.3687,0.7288493,72.36328,1.4336838722229004,2023-12-07 20:38:29.211815,294.11273,14.550781
228,2271,1192.2633,0.7288493,72.85156,1.411839246749878,2023-12-07 20:38:31.276163,294.11273,14.550781
229,2281,1194.1008,0.7288493,72.94922,1.4113030433654785,2023-12-07 20:38:33.421962,294.11273,14.550781
230,2291,1195.419,0.7288493,73.046875,1.4098362922668457,2023-12-07 20:38:35.510822,294.11273,14.550781
231,2301,1195.429,0.7288493,73.046875,1.3785500526428223,2023-12-07 20:38:37.572779,294.11273,14.550781
232,2311,1195.4688,0.7288493,73.046875,1.4073307514190674,2023-12-07 20:38:39.627993,294.14874,14.550781
233,2321,1199.3525,0.7288493,73.24219,1.364776849746704,2023-12-07 20:38:41.730317,294.14874,14.550781
234,2331,1201.5571,0.7288493,73.33984,1.4847941398620605,2023-12-07 20:38:43.834544,294.211,14.550781
235,2341,1201.6077,0.7288493,73.33984,1.4553124904632568,2023-12-07 20:38:46.010832,294.211,14.550781
236,2351,1203.5973,0.7288493,73.4375,1.4030177593231201,2023-12-07 20:38:48.167492,294.211,14.550781
237,2361,1203.6116,0.7288493,73.4375,1.420924425125122,2023-12-07 20:38:50.200785,294.4428,14.550781
238,2371,1205.3169,0.7288493,73.53516,1.399599313735962,2023-12-07 20:38:52.258758,295.94208,14.6484375
239,2381,1205.326,0.7288493,73.53516,1.455761194229126,2023-12-07 20:38:54.528602,295.94208,14.6484375
240,2391,1205.346,0.7288493,73.53516,1.5418341159820557,2023-12-07 20:38:56.703592,295.94208,14.6484375
241,2401,1207.1936,0.7288493,73.63281,1.459115743637085,2023-12-07 20:38:58.961843,295.9447,14.6484375
242,2411,1209.3221,0.7288493,73.73047,1.414522409439087,2023-12-07 20:39:01.079473,295.9447,14.6484375
243,2421,1214.0182,0.7288493,74.02344,1.4179158210754395,2023-12-07 20:39:03.129706,295.9447,14.6484375
244,2431,1215.8395,0.7288493,74.12109,1.491464614868164,2023-12-07 20:39:05.240391,295.9447,14.6484375
245,2441,1215.8591,0.7288493,74.12109,1.5157005786895752,2023-12-07 20:39:07.443789,295.9447,14.6484375
246,2451,1215.8994,0.7288493,74.12109,1.374971866607666,2023-12-07 20:39:09.436435,296.01538,14.6484375
247,2461,1215.92,0.7288493,74.12109,1.4630978107452393,2023-12-07 20:39:11.727104,296.01538,14.6484375
248,2471,1215.9285,0.7288493,74.12109,1.48012375831604,2023-12-07 20:39:13.873911,296.01538,14.6484375
249,2481,1215.9622,0.7288493,74.12109,1.4621052742004395,2023-12-07 20:39:15.946581,296.01538,14.6484375
250,2491,1218.1007,0.7288493,74.21875,1.4282457828521729,2023-12-07 20:39:17.986077,296.06104,14.6484375
