loop,iteration,qd_score,max_fitness,coverage,time,current_time,coverage1,coverage2
1,1,5843.361,-68.715004,5.9570312,4.769126653671265,2023-12-14 18:25:47.244149,5.2734375,4.1992188
2,11,8484.025,-66.699585,8.3984375,0.23071050643920898,2023-12-14 18:25:47.784309,6.640625,5.859375
3,21,9956.642,-66.699585,9.863281,0.23140811920166016,2023-12-14 18:25:48.321439,7.6171875,6.0546875
4,31,11213.15,-66.699585,11.035156,0.2669696807861328,2023-12-14 18:25:48.969897,8.59375,6.8359375
5,41,12708.622,-66.699585,12.597656,0.23060393333435059,2023-12-14 18:25:49.506270,9.667969,8.496094
6,51,13573.549,-66.351944,13.4765625,0.23172569274902344,2023-12-14 18:25:50.047512,10.253906,8.691406
7,61,14279.398,-66.351944,14.160156,0.23151922225952148,2023-12-14 18:25:50.593362,11.230469,8.886719
8,71,14989.982,-66.351944,14.84375,0.23376870155334473,2023-12-14 18:25:51.230602,10.9375,8.7890625
9,81,15501.672,-66.351944,15.234375,0.23133611679077148,2023-12-14 18:25:51.772396,11.230469,9.082031
10,91,16550.496,-55.707237,15.917969,0.23226284980773926,2023-12-14 18:25:52.313265,11.425781,9.863281
11,101,17544.098,-55.707237,16.699219,0.23133301734924316,2023-12-14 18:25:52.854465,11.71875,9.9609375
12,111,18129.322,-55.707237,16.992188,0.23336100578308105,2023-12-14 18:25:53.395119,12.109375,9.863281
13,121,18820.328,-55.707237,17.578125,0.23272395133972168,2023-12-14 18:25:53.934997,12.988281,10.15625
14,131,19755.344,-55.707237,18.261719,0.2435150146484375,2023-12-14 18:25:54.484344,13.378906,10.15625
15,141,20321.057,-55.707237,18.652344,0.23364543914794922,2023-12-14 18:25:55.032041,13.4765625,9.9609375
16,151,20848.887,-55.707237,19.042969,0.23053646087646484,2023-12-14 18:25:55.574083,13.964844,10.449219
17,161,21881.062,-55.707237,19.824219,0.23263287544250488,2023-12-14 18:25:56.116917,14.550781,10.644531
18,171,22088.467,-55.707237,19.921875,0.23261475563049316,2023-12-14 18:25:56.659530,14.355469,10.7421875
19,181,22846.582,-55.707237,20.507812,0.23314929008483887,2023-12-14 18:25:57.205273,14.746094,10.644531
20,191,23261.926,-55.707237,20.800781,0.23300838470458984,2023-12-14 18:25:57.748525,15.0390625,10.449219
21,201,23383.047,-55.707237,20.898438,0.2319178581237793,2023-12-14 18:25:58.293765,15.332031,10.3515625
22,211,23941.686,-55.707237,21.289062,0.2331399917602539,2023-12-14 18:25:58.834885,15.625,10.9375
23,221,24412.357,-55.707237,21.679688,0.2312612533569336,2023-12-14 18:25:59.379412,15.8203125,10.9375
24,231,24755.334,-55.707237,21.875,0.24576282501220703,2023-12-14 18:25:59.952116,16.113281,10.644531
25,241,25755.713,-55.707237,22.460938,0.2323930263519287,2023-12-14 18:26:00.496423,16.601562,10.449219
26,251,26142.617,-55.707237,22.753906,0.2473771572113037,2023-12-14 18:26:01.057090,16.894531,10.839844
27,261,26506.062,-55.707237,23.046875,0.23347115516662598,2023-12-14 18:26:01.599406,16.796875,11.1328125
28,271,26851.95,-55.707237,23.242188,0.233839750289917,2023-12-14 18:26:02.143523,17.089844,10.7421875
29,281,27317.701,-55.707237,23.535156,0.23808693885803223,2023-12-14 18:26:02.692106,16.894531,10.9375
30,291,27493.055,-55.707237,23.632812,0.23281598091125488,2023-12-14 18:26:03.234890,16.894531,11.1328125
31,301,27831.498,-55.707237,23.828125,0.2471773624420166,2023-12-14 18:26:03.796066,17.1875,11.230469
