loop,iteration,max_fitness,time,current_time
1,1,-178.85901,13.1669762134552,2023-12-15 09:16:52.317190
2,11,-178.85901,4.796666145324707,2023-12-15 09:16:57.116057
3,21,-168.39233,4.907083749771118,2023-12-15 09:17:02.025939
4,31,-154.70872,4.831166982650757,2023-12-15 09:17:06.861379
5,41,-134.88074,4.907235622406006,2023-12-15 09:17:11.771255
6,51,-134.29541,5.057819366455078,2023-12-15 09:17:16.831602
7,61,-134.29541,4.960306882858276,2023-12-15 09:17:21.794588
8,71,-134.29541,4.934178590774536,2023-12-15 09:17:26.731186
9,81,-134.29541,4.977678298950195,2023-12-15 09:17:31.712269
10,91,-134.29541,4.928564786911011,2023-12-15 09:17:36.645768
11,101,-134.29541,5.049423456192017,2023-12-15 09:17:41.697606
12,111,-134.29541,4.9322497844696045,2023-12-15 09:17:46.632306
13,121,-134.29541,4.98612904548645,2023-12-15 09:17:51.620346
14,131,-134.29541,4.973368167877197,2023-12-15 09:17:56.596537
15,141,-134.29541,5.029340982437134,2023-12-15 09:18:01.631094
16,151,-134.29541,4.960993051528931,2023-12-15 09:18:06.595056
17,161,-134.29541,4.93790864944458,2023-12-15 09:18:11.535459
18,171,-134.29541,4.982902526855469,2023-12-15 09:18:16.521079
19,181,-133.91537,5.026223659515381,2023-12-15 09:18:21.549940
20,191,-133.91537,4.922354459762573,2023-12-15 09:18:26.477622
21,201,-133.91537,4.967739582061768,2023-12-15 09:18:31.449178
22,211,-133.91537,4.91157341003418,2023-12-15 09:18:36.363396
23,221,-133.91537,4.904622554779053,2023-12-15 09:18:41.270485
24,231,-133.91537,4.856966733932495,2023-12-15 09:18:46.129019
25,241,-133.91537,4.997704029083252,2023-12-15 09:18:51.130797
26,251,-133.91537,4.963273525238037,2023-12-15 09:18:56.096688
27,261,-133.91537,4.945760250091553,2023-12-15 09:19:01.044470
28,271,-133.91537,4.998186826705933,2023-12-15 09:19:06.044895
29,281,-133.91537,4.986590623855591,2023-12-15 09:19:11.033867
30,291,-133.91537,5.044632911682129,2023-12-15 09:19:16.080945
31,301,-133.91537,5.0148766040802,2023-12-15 09:19:21.098454
32,311,-133.91537,4.995806694030762,2023-12-15 09:19:26.096891
33,321,-133.91537,5.043343544006348,2023-12-15 09:19:31.143154
34,331,-133.86246,5.04656720161438,2023-12-15 09:19:36.191460
35,341,-133.86246,4.994423151016235,2023-12-15 09:19:41.190506
36,351,-132.87073,4.990631103515625,2023-12-15 09:19:46.182912
37,361,-129.12909,5.066547393798828,2023-12-15 09:19:51.255028
38,371,-129.0776,4.913908958435059,2023-12-15 09:19:56.170762
39,381,-129.07657,5.0657923221588135,2023-12-15 09:20:01.238964
40,391,-127.860855,4.967663288116455,2023-12-15 09:20:06.208720
41,401,-127.51429,5.000662803649902,2023-12-15 09:20:11.212019
42,411,-127.51429,5.015265703201294,2023-12-15 09:20:16.229773
43,421,-127.51429,5.098141193389893,2023-12-15 09:20:21.330364
44,431,-127.51429,4.883732080459595,2023-12-15 09:20:26.216549
45,441,-127.51429,4.9646570682525635,2023-12-15 09:20:31.183869
46,451,-127.51429,4.9725730419158936,2023-12-15 09:20:36.158913
47,461,-127.51429,5.0195090770721436,2023-12-15 09:20:41.181015
48,471,-127.51429,4.968898296356201,2023-12-15 09:20:46.152324
49,481,-127.51429,5.03942084312439,2023-12-15 09:20:51.193685
50,491,-127.51429,4.991737604141235,2023-12-15 09:20:56.188559
51,501,-127.51429,4.9789955615997314,2023-12-15 09:21:01.170310
52,511,-127.51429,4.982715606689453,2023-12-15 09:21:06.154783
53,521,-127.51429,5.031622648239136,2023-12-15 09:21:11.188979
